"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
2003,7,11,0,0,19,0,0,0,0,0,0,0,1,1,0,0,0,4,2,11,8,9,7,3,1,5,2,4,2,3,2,1,2,0,0,0,0,0
2004,7,11,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,0,0,2,2,4,0,1,2,2,0,0,0,0,0,0,0,0
2005,7,11,0,0,13,0,1,0,0,0,1,0,0,0,0,3,2,2,1,3,3,5,2,5,4,2,2,3,1,0,0,0,0,0,0,0,0,0
2006,7,11,0,0,13,0,0,0,0,0,0,1,0,1,3,2,1,1,0,3,2,3,3,5,3,4,1,4,2,1,2,0,0,1,0,0,0,0
2007,7,11,0,0,12,0,0,0,0,1,2,1,0,0,0,2,0,1,0,1,0,3,3,1,3,4,1,0,0,3,0,0,0,0,0,0,0,0
2008,7,11,0,0,15,0,0,0,0,0,0,1,1,0,2,2,2,0,2,0,1,1,6,3,2,5,2,5,2,1,2,1,0,1,1,0,0,0
2009,7,11,0,0,11,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,5,5,3,2,2,2,5,6,1,1,0,2,0,0,0,0,0
2010,7,11,0,0,15,0,0,0,1,0,2,1,2,1,1,1,3,0,0,1,3,3,3,3,7,5,5,3,0,2,0,1,2,1,1,0,0,0
2011,7,11,0,0,13,0,1,1,1,0,0,1,0,2,1,1,3,1,0,1,3,2,3,6,5,6,4,2,2,1,0,0,0,0,0,0,0,0
2012,7,11,0,0,14,0,0,0,1,0,3,0,1,1,2,3,2,3,1,1,0,0,2,1,4,2,4,4,1,2,3,1,1,0,1,0,0,0
2013,7,11,0,0,13,0,0,0,0,0,1,1,0,1,1,1,0,4,2,2,2,1,1,2,1,0,1,4,5,2,3,1,0,1,0,0,0,0
2014,7,11,0,0,19,0,0,0,0,0,1,2,3,0,2,1,4,3,1,2,3,3,3,3,3,5,11,7,7,12,8,3,3,1,1,0,0,0
2015,7,11,0,0,13,0,0,0,1,0,1,4,1,2,3,1,0,2,2,0,2,3,3,0,1,1,6,3,1,7,5,0,2,0,0,0,0,0
2016,7,11,0,0,25,0,0,1,1,1,4,12,5,7,5,7,5,4,3,1,7,4,5,3,4,2,2,1,3,2,0,1,1,0,0,0,0,0
2017,7,11,0,0,19,0,0,1,0,1,2,2,1,3,1,3,4,1,3,2,2,4,5,3,1,2,1,0,0,1,0,1,1,0,0,0,0,0
2018,7,11,0,0,24,0,1,2,0,2,6,3,5,2,2,2,3,4,1,0,3,1,3,1,0,0,2,1,3,1,1,1,0,0,0,0,0,0
2019,7,11,0,0,9,0,0,0,0,0,1,2,0,2,0,0,0,2,1,2,2,2,4,5,2,2,1,1,0,2,2,0,0,1,0,0,0,0
2021,7,11,0,0,20,0,0,0,0,2,2,4,6,3,4,3,1,5,4,7,4,3,2,4,1,0,2,6,1,0,0,1,1,0,0,0,0,0
2022,7,11,0,0,18,0,0,0,0,3,1,1,1,6,3,1,1,3,5,1,1,2,6,3,2,4,3,2,1,0,1,0,0,0,0,0,0,0
2023,7,11,0,0,14,0,0,0,0,0,1,1,2,1,2,1,0,3,1,2,2,4,5,6,3,5,5,2,5,1,1,0,0,0,0,0,0,0
2024,7,11,0,0,22,0,0,0,0,2,1,2,0,1,2,2,4,3,2,4,5,5,4,5,4,0,1,3,3,1,1,1,0,0,0,0,0,0
