"Year","Month","Fleet","Index","CV","Label"
1980,7,3,0.0344127,0.238428,"CA_REC"
1981,7,3,0.0390761,0.389398,"CA_REC"
1982,7,3,0.0489393,0.532461,"CA_REC"
1983,7,3,0.0423917,0.491594,"CA_REC"
1984,7,3,0.0861177,0.337112,"CA_REC"
1985,7,3,0.0753761,0.217144,"CA_REC"
1986,7,3,0.0606061,0.239787,"CA_REC"
1987,7,3,0.0987856,0.347076,"CA_REC"
1988,7,3,0.0707877,0.466089,"CA_REC"
1989,7,3,0.0504358,0.333769,"CA_REC"
1995,7,3,0.0359864,0.338231,"CA_REC"
1996,7,3,0.0400382,0.238819,"CA_REC"
1997,7,3,0.0486112,0.294196,"CA_REC"
1998,7,3,0.0608768,0.362137,"CA_REC"
1999,7,3,0.0224724,0.22919,"CA_REC"
1982,7,6,0.302619,0.270593,"OR_REC"
1983,7,6,0.256608,0.415198,"OR_REC"
1984,7,6,0.222874,0.245823,"OR_REC"
1985,7,6,0.138738,0.484106,"OR_REC"
1986,7,6,0.0689526,0.397984,"OR_REC"
1987,7,6,0.0572765,0.53118,"OR_REC"
1988,7,6,0.0938403,0.339119,"OR_REC"
1989,7,6,0.0979438,0.526075,"OR_REC"
1993,7,6,0.162764,0.242142,"OR_REC"
1994,7,6,0.140001,0.238047,"OR_REC"
1995,7,6,0.0915524,0.239518,"OR_REC"
1996,7,6,0.0653443,0.26569,"OR_REC"
1997,7,6,0.0835953,0.168702,"OR_REC"
1998,7,6,0.0806561,0.203697,"OR_REC"
1999,7,6,0.139663,0.157873,"OR_REC"
2004,7,6,0.00312968592624482,0.14733738377585,"OR_REC"
2005,7,6,0.00497044262020312,0.126927650790861,"OR_REC"
2006,7,6,0.00478750645259846,0.126384731767565,"OR_REC"
2007,7,6,0.00567262778187141,0.125602902543194,"OR_REC"
2008,7,6,0.00573744051933659,0.116859246092764,"OR_REC"
2009,7,6,0.00482604244317495,0.127841074731997,"OR_REC"
2010,7,6,0.00650257300094289,0.113870417250629,"OR_REC"
2011,7,6,0.00737597540619455,0.114149064266517,"OR_REC"
2012,7,6,0.00932265099458983,0.11365672327313,"OR_REC"
2013,7,6,0.0093027861018895,0.111528915377221,"OR_REC"
2014,7,6,0.00864268008652844,0.11235989917301,"OR_REC"
2015,7,6,0.00813503975881413,0.113214341386612,"OR_REC"
2016,7,6,0.00682620408893234,0.109460903773673,"OR_REC"
2017,7,6,0.0136480395636016,0.100177968603468,"OR_REC"
2018,7,6,0.0119101935836808,0.110422994283024,"OR_REC"
2019,7,6,0.0106725646720655,0.114833292048717,"OR_REC"
2020,7,6,0.0141391527363635,0.117907118237795,"OR_REC"
