"year","month","fleet","obs","se"
"2002",7,12,-0.374210010191483,0.18184264435473
"2003",7,12,0.560382781957477,0.164747160841155
"2004",7,12,-0.375668641322577,0.158550766261959
"2005",7,12,-0.693117235699479,0.146278143431639
"2006",7,12,-0.498027760344364,0.153978499936382
"2007",7,12,3.35530870305017,0.165720745464863
"2008",7,12,0.987052692775395,0.12257096362783
"2009",7,12,-0.342768526772592,0.123153410153801
"2010",7,12,-0.82689763722364,0.139573348101872
"2011",7,12,-1.02460791517008,0.122800238510738
"2012",7,12,-0.642139339404184,0.182535304468519
"2013",7,12,-0.262447471590015,0.116070142418591
"2014",7,12,0.479752055122991,0.108939181121561
"2015",7,12,-0.356136559329343,0.117858156216164
"2016",7,12,-1.33487306715933,0.122229227791513
"2017",7,12,-0.416176881522964,0.133700247877092
"2018",7,12,-0.901300841160799,0.129356747829403
"2019",7,12,-0.68448010426845,0.145324595402035
"2021",7,12,0.435644406811176,0.153421731987623
"2022",7,12,0.853772612160807,0.153392893776754
"2023",7,12,0.849584337739601,0.170147289330926
