"year","month","fleet","obs","se"
"2001",7,12,8.86738897010757,1.64654196558862
"2002",7,12,5.56591174902088,2.44009774609321
"2003",7,12,9.55497325579052,2.71418888072292
"2004",7,12,5.79600523018728,2.03062965361078
"2005",7,12,4.92017454341293,1.41232838404706
"2006",7,12,6.21659113028375,1.72736785315173
"2007",7,12,14.7044369331956,5.72971970720928
"2008",7,12,7.26062229986638,2.16304197006116
"2009",7,12,3.54902215949611,1.17741374362732
"2010",7,12,3.41644650053047,1.07367489389376
"2011",7,12,2.37264313034502,1.05129094068926
"2012",7,12,3.65612168678031,2.61285520947469
"2013",7,12,3.34591887460397,1.14164859292572
"2014",7,12,6.27829903551867,1.57792567993617
"2015",7,12,4.39828385613081,0.989882272286486
"2016",7,12,1.47315298691017,0.389978035198102
"2017",7,12,3.80928501418591,0.938357004689184
"2018",7,12,2.73653359752598,0.856674300029892
"2019",7,12,2.75247628066812,0.84917074922696
"2021",7,12,9.91190746589576,3.8379589166734
"2022",7,12,6.73181789954316,1.37178179307985
"2023",7,12,9.29139289511448,2.04125161354351
