"year","month","fleet","obs","logse"
"2004",7,NA,0.00312968592624482,0.14733738377585
"2005",7,NA,0.00497044262020312,0.126927650790861
"2006",7,NA,0.00478750645259846,0.126384731767565
"2007",7,NA,0.00567262778187141,0.125602902543194
"2008",7,NA,0.00573744051933659,0.116859246092764
"2009",7,NA,0.00482604244317495,0.127841074731997
"2010",7,NA,0.00650257300094289,0.113870417250629
"2011",7,NA,0.00737597540619455,0.114149064266517
"2012",7,NA,0.00932265099458983,0.11365672327313
"2013",7,NA,0.0093027861018895,0.111528915377221
"2014",7,NA,0.00864268008652844,0.11235989917301
"2015",7,NA,0.00813503975881413,0.113214341386612
"2016",7,NA,0.00682620408893234,0.109460903773673
"2017",7,NA,0.0136480395636016,0.100177968603468
"2018",7,NA,0.0119101935836808,0.110422994283024
"2019",7,NA,0.0106725646720655,0.114833292048717
"2020",7,NA,0.0141391527363635,0.117907118237795
"2021",7,NA,0.0102626772922074,0.120299464231769
"2022",7,NA,0.0114397493472061,0.11659684470413
"2023",7,NA,0.0132617123662813,0.124133281631704
"2024",7,NA,0.0118079284114893,0.125140864201918
