"year","month","fleet","obs","logse"
"2001",7,NA,0.00521199204679862,0.353895123470534
"2004",7,NA,0.00608026268698393,0.337826026655337
"2005",7,NA,0.00429846668727499,0.366360818071358
"2006",7,NA,0.00985669031462845,0.275371593992624
"2007",7,NA,0.00733744537715862,0.281070110880835
"2008",7,NA,0.0152736857651095,0.247293259726326
"2009",7,NA,0.0179221075647218,0.277427077795918
"2010",7,NA,0.00886681345685576,0.344339741504768
"2011",7,NA,0.0217364983346299,0.273748447319731
"2012",7,NA,0.0201860777407535,0.234921585539371
"2013",7,NA,0.0176205951284269,0.257527459602633
"2014",7,NA,0.0186186980795128,0.264867061579974
"2015",7,NA,0.0059254325272734,0.378066721172808
"2017",7,NA,0.0117211547303588,0.289782561456118
"2022",7,NA,0.016833968755574,0.349082171464778
"2023",7,NA,0.0107882179897442,0.293659360243992
"2024",7,NA,0.0159935461879914,0.251333033702405
