"","year","catch"
"1",1975,1.393
"2",1976,1.454
"3",1977,2.991
"4",1978,1.48
"5",1979,1.516
"6",1980,0.873
"7",1981,1.623
"8",1982,2.332
"9",1983,3.205
"10",1984,5.433
"11",1985,4.133
"12",1986,4.017
"13",1987,5.048
"14",1988,3.957
"15",1989,6.98
"16",1990,5.909
"17",1991,14.799
"18",1992,13.234
"19",1993,13.566
"20",1994,8.394
"21",1995,8.186
"22",1996,8.406
"23",1997,8.815
"24",1998,11.151
"25",1999,9.207
"26",2000,9.76
"27",2001,10.522
"28",2002,1.416
"29",2003,0.997
"30",2004,1.727
"31",2005,1.69257343122248
"32",2006,1.0251105101
"33",2007,1.09930713157288
"34",2008,0.806224970761225
"35",2009,0.716503736195383
"36",2010,0.964068264675317
"37",2011,1.18266968327351
"38",2012,1.37765266448709
"39",2013,0.918261483006594
"40",2014,1.19378269369223
"41",2015,1.09632262085742
"42",2016,1.2685678
"43",2017,1.2174756
"44",2018,1.268416
"45",2019,2.0570371
"46",2020,1.0676571
"47",2021,1.2210027
"48",2022,1.28961239948
"49",2023,1.419365865
"50",2024,1.455274337
