,year,fleet,total_discards,,year,fleet,total_discards,,,,,
45,2002,NONTWL-OR,0.91,,2002,NONTWL-OR,0.91,,,,,
46,2002,NONTWL-WA,1,,2002,NONTWL-WA,1,,,,,
47,2002,TWL-CA,0.15,,2002,TWL-CA,0.15,,,,,
48,2002,TWL-OR,0.36,,2002,TWL-OR,0.36,,,,,
49,2002,TWL-WA,0.56,,2002,TWL-WA,0.56,,,,,
50,2003,NONTWL-OR,2.46,,2003,NONTWL-OR,2.46,,,,,
51,2003,NONTWL-WA,9.06,,2003,NONTWL-WA,9.06,,,,,
52,2003,TWL-OR,0.24,,2003,TWL-OR,0.24,,,,,
53,2003,TWL-WA,0.05,,2003,TWL-WA,0.05,,,,,
54,2004,NONTWL-CA,1.04,,2004,NONTWL-CA,1.04,,,,,
55,2004,NONTWL-OR,1.57,,2004,NONTWL-OR,1.57,,,,,
56,2004,NONTWL-WA,0.5,,2004,NONTWL-WA,0.5,,,,,
57,2004,TWL-OR,0.18,,2004,TWL-OR,0.18,,,,,
58,2004,TWL-WA,0,,2004,TWL-WA,0,,,,,
59,2005,NONTWL-CA,1.31,,2005,NONTWL-CA,1.31,,,,,
60,2005,NONTWL-OR,0.93,,2005,NONTWL-OR,0.93,,,,,
61,2005,NONTWL-WA,0.61,,2005,NONTWL-WA,0.61,,,,,
62,2005,TWL-OR,0.58,,2005,TWL-OR,0.58,,,,,
63,2005,TWL-WA,0.43,,2005,TWL-WA,0.43,,,,,
64,2006,NONTWL-CA,0.29,,2006,NONTWL-CA,0.29,,,,,
65,2006,NONTWL-OR,1.04,,2006,NONTWL-OR,1.04,,,,,
66,2006,NONTWL-WA,0.97,,2006,NONTWL-WA,0.97,,,,,
67,2006,TWL-OR,0.88,,2006,TWL-OR,0.88,,,,,
68,2007,NONTWL-CA,1.16,,2007,NONTWL-CA,1.16,,,,,
69,2007,NONTWL-OR,2.24,,2007,NONTWL-OR,2.24,,,,,
70,2007,NONTWL-WA,0.73,,2007,NONTWL-WA,0.73,,,,,
71,2007,TWL-OR,0,,2007,TWL-OR,0,,,,,
72,2008,NONTWL-CA,0.99,,2008,NONTWL-CA,0.99,,,,,
73,2008,NONTWL-OR,2.8,,2008,NONTWL-OR,2.8,,,,,
74,2008,NONTWL-WA,1.67,,2008,NONTWL-WA,1.67,,,,,
75,2008,TWL-OR,0.07,,2008,TWL-OR,0.07,,,,,
76,2009,NONTWL-CA,0.27,,2009,NONTWL-CA,0.27,,,,,
77,2009,NONTWL-OR,1.73,,2009,NONTWL-OR,1.73,,,,,
78,2009,TWL-OR,0.02,,2009,TWL-OR,0.02,,,,,
79,2010,NONTWL-OR,0.45,,2010,NONTWL-OR,0.45,,,,,
80,2010,TWL-OR,0.11,,2010,TWL-OR,0.11,,,,,
1,2011,NONTWL-OR,1.45,,2011,NONTWL-OR,1.45,,,,,
2,2011,TWL-OR,0.02,,2011,TWL-OR,0.02,,,,,
3,2011,TWL-WA,0,,2011,TWL-WA,0,,,,,
81,2011,NONTWL-CA,0.43,,2011,NONTWL-CA,0.43,,,,,
4,2012,TWL-CA,0,,2012,TWL-CA,0,,,,,
5,2012,TWL-OR,0,,2012,TWL-OR,0,,,,,
6,2012,TWL-WA,0,,2012,TWL-WA,0,,,,,
82,2012,NONTWL-CA,1.55,,2012,NONTWL-CA,1.55,,,,,
83,2012,NONTWL-OR,2.82,,2012,NONTWL-OR,2.82,,,,,
84,2012,NONTWL-WA,0.22,,2012,NONTWL-WA,0.22,,,,,
108,2012,TWL-NA,0,,2012,TWL-NA,0,,,,,
7,2013,NONTWL-WA,0.64,,2013,NONTWL-WA,0.64,,,,,
8,2013,TWL-CA,0,,2013,TWL-CA,0,,,,,
9,2013,TWL-OR,0,,2013,TWL-OR,0,,,,,
10,2013,TWL-WA,0,,2013,TWL-WA,0,,,,,
85,2013,NONTWL-CA,0.96,,2013,NONTWL-CA,0.96,,,,,
86,2013,NONTWL-OR,3.53,,2013,NONTWL-OR,3.53,,,,,
109,2013,TWL-NA,0,,2013,TWL-NA,0,,,,,
11,2014,NONTWL-CA,0,,2014,NONTWL-CA,0,,,,,
12,2014,NONTWL-WA,1.17,,2014,NONTWL-WA,1.17,,,,,
13,2014,TWL-CA,0,,2014,TWL-CA,0,,,,,
14,2014,TWL-OR,0,,2014,TWL-OR,0,,,,,
15,2014,TWL-WA,0,,2014,TWL-WA,0,,,,,
87,2014,NONTWL-OR,0.98,,2014,NONTWL-OR,0.98,,,,,
110,2014,TWL-NA,0,,2014,TWL-NA,0,,,,,
16,2015,NONTWL-OR,3.81,,2015,NONTWL-OR,3.81,,,,,
17,2015,TWL-CA,0,,2015,TWL-CA,0,,,,,
18,2015,TWL-OR,0,,2015,TWL-OR,0,,,,,
