year,CA.TWL_n_trips,CA.TWL_n_fish,CA.HKL_n_trips,CA.HKL_n_fish,ORWA.TWL_n_trips,ORWA.TWL_n_fish,ORWA.HKL_n_trips,ORWA.HKL_n_fish
1978,0,0,2,6,NA,NA,NA,NA
1979,0,0,5,10,0,0,0,0
1980,0,0,5,8,0,0,0,0
1981,0,0,2,7,0,0,0,0
1982,0,0,1,1,0,0,0,0
1983,0,0,1,1,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,0,0,4,10,0,0,0,0
1986,0,0,2,4,0,0,0,0
1987,0,0,0,0,0,0,0,0
1988,0,0,1,5,0,0,0,0
1989,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,2,23,11,261
2002,0,0,0,0,24,50,2,91
2003,0,0,0,0,2,31,1,8
2004,0,0,0,0,8,18,3,24
2005,0,0,0,0,1,4,0,0
2006,0,0,0,0,8,36,4,36
2007,0,0,0,0,0,0,4,16
2008,0,0,0,0,3,5,1,12
2009,0,0,0,0,7,20,3,14
2010,0,0,0,0,2,3,2,26
2011,0,0,0,0,8,16,1,1
2012,0,0,0,0,11,36,4,8
2013,0,0,0,0,14,26,1,4
2014,0,0,0,0,10,11,1,1
2015,0,0,0,0,15,19,2,26
2016,0,0,0,0,1,4,0,0
