"year","month","fleet_nb","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74"
1977,7,1,0,0,1.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,7,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,1,0,0,1,0,0,1,0,1,0,0
1979,7,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,7,2,0,0,17.038,0,0,0,0,0,0,0,0,1,1,0,3,0,1,4,7,7,4,9,8,6,3,1,0,0,0,0,0,0,0,0,0,0
1980,7,1,0,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,2,1,1,1,0,0,0,0
1980,7,2,0,0,9.346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,2,1,2,3,3,2,2,1,0,0,0,0,0
1981,7,1,0,0,2.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1981,7,2,0,0,19.866,0,0,0,0,0,0,0,0,1,0,1,0,1,2,5,8,8,6,14,7,2,1,1,0,1,0,1,0,0,0,0,0,0
1982,7,1,0,0,10.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,4,1,0,1,0,0,0
1982,7,2,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,1,0,0,20.036,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,1,0,3,0,0,1,0,3,2,2,0,1,0,0,0
1983,7,2,0,0,5.898,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,3,1,1,1,1,0,0,0,2,1,1,0,0,0,1
1984,7,1,0,0,18.484,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3,0,0,0,2,1,1,2,3,0,1,0,0,0,0,0,0
1984,7,2,0,0,4.656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,1,0,2,1,0
1985,7,1,0,0,12.518,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1985,7,2,0,0,10.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0
1986,7,1,0,0,12.932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0,1,0,1,1,1,0,3,0,0,0,0,0,0
1986,7,2,0,0,9.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0
1987,7,1,0,0,16.622,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,1,2,2,1,0,2,0,2,1,0,0,2,0,1,0,0,0
1987,7,2,0,0,2.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1988,7,1,0,0,11.932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,1,0,0,2,0,2,2,0,0,0,0
1988,7,2,0,0,3.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
1989,7,1,0,0,6.104,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,2,0,0,19.934,0,0,0,0,0,0,0,0,1,0,1,2,2,0,3,2,3,1,3,3,6,4,2,5,4,1,0,0,0,0,0,0,0
