"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,1757.36743067217,824.19323174576,3747.10707080882,7.47157219021229,0.386316886035317,"index"
"Coastwide",2004,788.241207631538,246.256796303638,2523.07433027077,6.66980414407376,0.593597267284912,"index"
"Coastwide",2005,452.626384002377,187.381367522703,1093.33519230638,6.11506702580524,0.449968006626701,"index"
"Coastwide",2006,774.589610086908,311.594236375024,1925.54609172059,6.65233335372824,0.464616464361886,"index"
"Coastwide",2007,738.051378386085,284.677371018706,1913.46377546042,6.60401344058655,0.486058387081243,"index"
"Coastwide",2008,1119.45269152511,479.824201937869,2611.73638908084,7.02059517657073,0.432240282167636,"index"
"Coastwide",2009,1407.13594436054,513.796108301088,3853.73017413189,7.24931167246158,0.514032487386131,"index"
"Coastwide",2010,829.943451935233,353.14862759588,1950.47093372368,6.72135756827116,0.435961357118161,"index"
"Coastwide",2011,750.945683188273,308.298806938501,1829.13266742414,6.62133332316749,0.454224600611115,"index"
"Coastwide",2012,750.354612313745,300.701520970874,1872.39506605304,6.62054591120622,0.466553350131298,"index"
"Coastwide",2013,922.707345824982,375.084517190291,2269.85867723101,6.82731211578072,0.459274120917845,"index"
"Coastwide",2014,1646.26172261001,773.130973019478,3505.45735963238,7.40626237382789,0.385626425209522,"index"
"Coastwide",2015,561.565350348348,221.294469478246,1425.04981464466,6.33072815271053,0.475128065807358,"index"
"Coastwide",2016,1199.24162832032,613.620824309037,2343.76087988185,7.0894446595951,0.341877441361769,"index"
"Coastwide",2017,626.661501364676,293.119932569308,1339.74047363625,6.44040652461874,0.387672773158622,"index"
"Coastwide",2018,720.876487462024,364.137055589385,1427.10801386162,6.58046781534531,0.348443898775326,"index"
"Coastwide",2019,833.801651777495,278.86284899612,2493.07212132998,6.72599554646835,0.558824281880093,"index"
"Coastwide",2021,803.461251568572,381.37757063393,1692.6794664382,6.68892895945788,0.380179983859361,"index"
"Coastwide",2022,837.422351496503,384.261721731528,1824.99623336382,6.73032854476991,0.397458659178945,"index"
"Coastwide",2023,694.788306241631,287.345740854474,1679.96501028561,6.54360720383043,0.450478196591066,"index"
"Coastwide",2024,1070.76079539079,528.234267546712,2170.49281234775,6.97612469852805,0.360509086014055,"index"
"WA",2003,804.794771627994,372.198314743219,1740.18688098199,6.69058730283828,0.393456457643633,"index"
"WA",2004,368.773505200008,112.486473876081,1208.98000845253,5.91018264853781,0.60580177783882,"index"
"WA",2005,209.915679812071,85.2114270876506,517.120697739729,5.34670592538042,0.459993340134272,"index"
"WA",2006,360.166329827832,140.905260768476,920.617047469903,5.88656595204794,0.478824205111992,"index"
"WA",2007,343.760699081484,129.628491012175,911.616090801299,5.8399457730971,0.497597498206954,"index"
"WA",2008,516.04714379723,214.794854462363,1239.80928355033,6.24619812525625,0.447209604278058,"index"
"WA",2009,655.804873006588,235.887676211223,1823.24078293127,6.48586329501208,0.521697112604482,"index"
"WA",2010,385.163898281595,159.284053033043,931.362717827755,5.95366895352139,0.450508200707092,"index"
"WA",2011,349.470978198191,139.262080316256,876.979320755877,5.85642052016647,0.469428468920475,"index"
"WA",2012,348.071821828214,137.450679869573,881.436114144907,5.85240884304394,0.474061610044494,"index"
"WA",2013,423.39105769922,169.994113727638,1054.50702856025,6.0482962382586,0.465586324104566,"index"
"WA",2014,755.590856314481,346.244278140464,1648.88657572109,6.62750003432926,0.398147878402711,"index"
"WA",2015,261.152949561844,100.329684715151,679.767540967385,5.56510624933066,0.48809296824956,"index"
"WA",2016,542.735103376349,267.057324301253,1102.98937955604,6.29662136181582,0.361821969330091,"index"
"WA",2017,286.992585595255,129.312450341455,636.943650585553,5.65945638126304,0.406754826142437,"index"
"WA",2018,326.250292147019,159.054864027336,669.198353517322,5.78766485410629,0.366545334656927,"index"
"WA",2019,383.227581022033,128.412097846798,1143.68802720763,5.94862901903382,0.557859440709225,"index"
"WA",2021,367.922199115409,170.043170766445,796.072808991815,5.90787150037028,0.393792516577756,"index"
"WA",2022,384.362211991608,169.727165252256,870.422302685094,5.95158536839201,0.417044974968007,"index"
"WA",2023,321.601176608261,132.724975375556,779.260395439229,5.7733121959059,0.45155577854849,"index"
"WA",2024,490.464929041101,235.302005354844,1022.32807687518,6.19535377602325,0.374743599155261,"index"
"OR",2003,737.764218446189,334.505270687249,1627.16731159795,6.60362428635328,0.403564379874153,"index"
"OR",2004,332.143177792391,102.62392976757,1074.98407831278,5.80556613436212,0.599243151650948,"index"
"OR",2005,190.45845917141,76.6205235962043,473.429610858787,5.24943410869542,0.464584626530582,"index"
"OR",2006,326.076622241589,129.044526020183,823.947879477307,5.7871323913006,0.472955059816739,"index"
"OR",2007,310.780652333035,116.806718321677,826.875502131307,5.7390873653751,0.499277938001216,"index"
"OR",2008,470.548542251695,198.459918288838,1115.67077384839,6.15389912533314,0.440473383890177,"index"
"OR",2009,592.578960749691,209.549626819733,1675.73586291931,6.3844841312181,0.530378897731421,"index"
"OR",2010,349.267495390531,145.827534853549,836.520918075478,5.85583809105715,0.445627288364321,"index"
"OR",2011,316.167261713362,127.020582503862,786.972752044234,5.7562713827717,0.465274999784754,"index"
"OR",2012,315.750043053352,122.736198970452,812.295724688327,5.75495089758325,0.482107618658069,"index"
"OR",2013,387.512581546297,153.029003027394,981.291114010549,5.95974831677288,0.474049961327526,"index"
"OR",2014,691.41997603212,317.262434517407,1506.83324353683,6.53874741921959,0.397465527347268,"index"
"OR",2015,236.406073118536,91.2345192416935,612.573309662228,5.46555097521269,0.485783237242442,"index"
"OR",2016,502.206185811005,252.795096124924,997.689658276451,6.21901076407296,0.350226588673522,"index"
"OR",2017,263.081921337681,121.30150416811,570.579052662081,5.57246547165143,0.395000245661844,"index"
"OR",2018,301.882674640991,149.415275056647,609.931944467177,5.71003844732505,0.358837684120049,"index"
"OR",2019,350.284955056423,113.594348052323,1080.15541127419,5.85874698054125,0.574558123228332,"index"
"OR",2021,337.297974597298,155.519899371659,731.545764414069,5.82096673729801,0.395003709117721,"index"
"OR",2022,351.713623986788,159.376547612613,776.164844520263,5.86281727625251,0.403858262764054,"index"
"OR",2023,292.2596001611,115.265583024539,741.033634195403,5.67764244895243,0.474704419535077,"index"
"OR",2024,449.537350073054,216.012801846266,935.517836829526,6.10821894294701,0.37392588588015,"index"
"CA",2003,214.80844059799,88.6922185482639,520.256082296901,5.36974665701161,0.451321813194168,"index"
"CA",2004,87.3245246391394,24.8348574135873,307.051193266754,4.46963134709536,0.641533798488149,"index"
"CA",2005,52.2522450188966,19.543954766093,139.700339168387,3.95608285679071,0.501752504158326,"index"
"CA",2006,88.3466580174872,31.8884381501454,244.763696048978,4.48126837142306,0.519920200474053,"index"
"CA",2007,83.5100269715682,29.5538713154667,235.973302121753,4.4249667081392,0.529985230380719,"index"
"CA",2008,132.857005476178,51.0324236550319,345.87782903305,4.88927340304118,0.48817846752835,"index"
