"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,1365.06942127608,612.822135700574,3040.71020994172,7.21896056440355,0.408622725070492,"index"
"Coastwide",2004,551.717803476155,159.115221170301,1913.03215640672,6.31303668997007,0.634403539324994,"index"
"Coastwide",2005,357.592626865551,134.393464748428,951.478459372787,5.87939442470187,0.499306431596727,"index"
"Coastwide",2006,841.254534948294,328.592810905121,2153.75738325394,6.73489427167046,0.479638887078212,"index"
"Coastwide",2007,512.359331838907,173.298762018042,1514.79492331908,6.23902619887689,0.553076053595237,"index"
"Coastwide",2008,955.841080921479,390.888577104765,2337.32123548924,6.86259166588737,0.456217115522538,"index"
"Coastwide",2009,760.612954399658,197.972811313064,2922.28040084614,6.63412462716566,0.686744722412062,"index"
"Coastwide",2010,821.196745751113,342.954109599209,1966.33915837985,6.71076272233994,0.44550108178937,"index"
"Coastwide",2011,712.103068457034,251.548758560584,2015.87470758196,6.56822266000426,0.53092088755038,"index"
"Coastwide",2012,560.27554745519,209.293617990964,1499.84835700898,6.32842871173989,0.502402382227275,"index"
"Coastwide",2013,850.393309992469,308.22344597545,2346.24844774965,6.74569896010177,0.51780235464332,"index"
"Coastwide",2014,1720.27591026548,817.318447622271,3620.80314722983,7.45023996988776,0.379706555870307,"index"
"Coastwide",2015,619.136538098327,228.303248386854,1679.03897783722,6.42832582687176,0.509014988396545,"index"
"Coastwide",2016,1213.09930898603,583.810836247517,2520.69650320514,7.10093377615016,0.373148058890981,"index"
"Coastwide",2017,677.238337181623,295.02281230436,1554.63152752866,6.5180232599703,0.42397237057904,"index"
"Coastwide",2018,579.080976077478,271.761332090389,1233.93116406756,6.36144232285028,0.385985713646325,"index"
"Coastwide",2019,795.128345948354,267.388988316213,2364.45446206219,6.67850354306853,0.556030145662099,"index"
"Coastwide",2021,702.232894119001,307.992957264194,1601.11140840063,6.55426510701057,0.420511905741565,"index"
"Coastwide",2022,778.720172468233,336.254136434939,1803.41307749618,6.65765176756169,0.428469370702815,"index"
"Coastwide",2023,470.66901091655,166.91604538246,1327.19006929242,6.15415511007356,0.528919997766185,"index"
"Coastwide",2024,873.583548625452,409.176350650709,1865.0838818407,6.77260377311169,0.386975240767535,"index"
"WA",2003,725.376238918482,322.575248686839,1631.15642049256,6.58669047047896,0.413453532100908,"index"
"WA",2004,304.433964503184,86.6003949404602,1070.20341889717,5.71845419828868,0.6414147566657,"index"
"WA",2005,193.680185716966,71.9403492436304,521.432196726228,5.26620827151496,0.505300600633309,"index"
"WA",2006,455.540722486162,173.866716518329,1193.54269752566,6.12148511442985,0.491435614817215,"index"
"WA",2007,281.076142098825,93.6392554803447,843.703821136664,5.63862560095168,0.560814340417862,"index"
"WA",2008,509.955489524388,203.28212702312,1279.27922195777,6.23432344646727,0.469257930885892,"index"
"WA",2009,422.135596974334,109.981854458201,1620.25329642538,6.04532658226824,0.686242808624703,"index"
"WA",2010,442.95153609118,180.724577901432,1085.66342001666,6.09346036471788,0.457399303502741,"index"
"WA",2011,390.838833499978,135.447902618399,1127.77673790922,5.96829528447436,0.54067738436361,"index"
"WA",2012,302.570794623223,112.441965612474,814.189660063824,5.71231528190203,0.505049104162227,"index"
"WA",2013,453.328954751835,163.936508298881,1253.57764020276,6.11661803137969,0.518957915072602,"index"
"WA",2014,909.970187549879,421.530745869978,1964.37804440717,6.81341183804005,0.39261901003795,"index"
"WA",2015,336.826445316389,122.009247683364,929.864386664386,5.81956779863364,0.518106946913158,"index"
"WA",2016,637.103204390811,295.26020967624,1374.72127886829,6.45693165876104,0.392392222806485,"index"
"WA",2017,359.211302021404,150.733832832786,856.030508048268,5.88391080035789,0.443066924822009,"index"
"WA",2018,305.272155125465,138.628320166748,672.237018978891,5.7212036906206,0.402766224663665,"index"
"WA",2019,422.678205316269,141.982937394258,1258.2981344673,6.0466111456006,0.556594030818585,"index"
"WA",2021,372.750900931724,159.83113903755,869.312669496584,5.92091037062844,0.432044925517007,"index"
"WA",2022,414.519133647641,173.110572884331,992.580113952959,6.02711913430042,0.445512571271188,"index"
"WA",2023,256.237276810416,91.945434169366,714.092468216257,5.5461038777484,0.522922151425164,"index"
"WA",2024,462.697065469422,212.606438329021,1006.97126614153,6.13707255370443,0.396757190755153,"index"
"OR",2003,639.693182357603,274.529118826923,1490.57910251329,6.46098865883732,0.43160554513816,"index"
"OR",2004,247.283838972971,69.388484787707,881.260013160619,5.51053682250508,0.64838737039693,"index"
"OR",2005,163.912441148584,59.4042512418534,452.278882430531,5.09933238981582,0.517849615751088,"index"
"OR",2006,385.713812462132,146.952052481532,1012.40603728736,5.95509567598633,0.4923505348162,"index"
"OR",2007,231.283189740083,75.9066789547605,704.706286626341,5.44364288929442,0.568448308634034,"index"
"OR",2008,445.88559139709,178.430505377629,1114.23750212871,6.1000623975816,0.467285728211607,"index"
"OR",2009,338.477357425324,84.3998690222003,1357.43008628953,5.82445719920019,0.708631056705399,"index"
"OR",2010,378.245209659933,153.634633783908,931.231683292967,5.93554268810693,0.459684677653749,"index"
"OR",2011,321.264234957056,110.402784946556,934.856024805037,5.77226394637809,0.544973578756215,"index"
"OR",2012,257.704752831968,92.1960118367187,720.332022059724,5.55181456076325,0.524447232097741,"index"
"OR",2013,397.064355240634,137.948375766798,1142.8920516555,5.98409837143047,0.539407281586535,"index"
"OR",2014,810.3057227156,373.701666992152,1757.00410851911,6.697411611907,0.394881651272131,"index"
"OR",2015,282.310092781938,101.080075385405,788.473773715193,5.64300608659322,0.524036699845336,"index"
"OR",2016,575.996104595222,273.147720033667,1214.62303426138,6.35610089781751,0.380664214156211,"index"
"OR",2017,318.02703516022,137.149762957562,737.45074662722,5.76213639539361,0.42912161294295,"index"
"OR",2018,273.808820952015,126.046033932719,594.792776035702,5.61243012910682,0.395814895745951,"index"
"OR",2019,372.450140632084,120.27872296628,1153.31376851872,5.92010317820869,0.576689901566857,"index"
"OR",2021,329.481993187276,140.517309674385,772.562356098464,5.79752170354873,0.434799327210109,"index"
"OR",2022,364.201038820592,154.973981124625,855.901072653813,5.89770601962495,0.43595126606829,"index"
"OR",2023,214.431734106132,71.4450992788989,643.584641295941,5.36799143179844,0.560756283259671,"index"
"OR",2024,410.886483156031,185.700221601303,909.141090864198,6.01831697964625,0.405203016087611,"index"
