"","YEAR","SEAS","ST_FLEET","TOTAL_CATCH","CATCH_SE"
"1",2016,"1","CA_TWL",0.00317514659266265,0.01
"2",2017,"1","CA_NONTWL",1.22863477332914,0.01
"3",2017,"1","CA_TWL",0.0108862168891291,0.01
"4",2018,"1","CA_TWL",0.000907184740760756,0.01
"5",2019,"1","CA_TWL",0.0394429410326925,0.01
"6",2020,"1","CA_TWL",0.128397859856849,0.01
"7",2021,"1","CA_NONTWL",2.43181436948152,0.01
"8",2021,"1","CA_TWL",0.117047799409769,0.01
"9",2022,"1","CA_NONTWL",5.60265865066739,0.01
"10",2022,"1","CA_TWL",0.0949738055395621,0.01
"11",2023,"1","CA_NONTWL",1.82589670081494,0.01
"12",2023,"1","CA_TWL",0.0866361427426522,0.01
"13",2024,"1","CA_TWL",0.191448729669661,0.01
"14",2025,"1","CA_TWL",0.00684924479274371,0.01
"15",2016,"1","ORWA_NONTWL",2.09117015904155,0.01
"16",2016,"1","ORWA_TWL",0.0963050582970069,0.01
"17",2017,"1","ORWA_NONTWL",6.97411824823606,0.01
"18",2017,"1","ORWA_TWL",0.243569134593203,0.01
"19",2018,"1","ORWA_NONTWL",6.37932433098142,0.01
"20",2018,"1","ORWA_TWL",0.540566421778799,0.01
"21",2019,"1","ORWA_NONTWL",7.42941032203053,0.01
"22",2019,"1","ORWA_TWL",0.588723532373083,0.01
"23",2020,"1","ORWA_NONTWL",7.5153545324705,0.01
"24",2020,"1","ORWA_TWL",0.3214,0.01
"25",2021,"1","ORWA_NONTWL",7.97231797932746,0.01
"26",2021,"1","ORWA_TWL",0.391270893705155,0.01
"27",2022,"1","ORWA_NONTWL",15.5519672843319,0.01
"28",2022,"1","ORWA_TWL",0.763535923703804,0.01
"29",2023,"1","ORWA_NONTWL",20.634885676794,0.01
"30",2023,"1","ORWA_TWL",0.399935923703804,0.01
"31",2024,"1","ORWA_NONTWL",3.08640666822878,0.01
"32",2024,"1","ORWA_TWL",0.4405,0.01
