species,year,region,gear,pounds,Source,MTONS
YEYE,1916,2,OTH,609,RECON1,0.276
YEYE,1916,4,OTH,58,RECON1,0.026
YEYE,1916,4,TWL,934,RECON1,0.424
YEYE,1916,6,OTH,3242,RECON1,1.471
YEYE,1917,2,OTH,1199,RECON1,0.544
YEYE,1917,4,OTH,91,RECON1,0.041
YEYE,1917,4,TWL,1450,RECON1,0.658
YEYE,1917,6,OTH,5233,RECON1,2.374
YEYE,1918,2,OTH,2799,RECON1,1.270
YEYE,1918,4,OTH,106,RECON1,0.048
YEYE,1918,4,TWL,1697,RECON1,0.770
YEYE,1918,6,OTH,4772,RECON1,2.165
YEYE,1919,2,OTH,643,RECON1,0.292
YEYE,1919,4,OTH,74,RECON1,0.034
YEYE,1919,4,TWL,1181,RECON1,0.536
YEYE,1919,6,OTH,2853,RECON1,1.294
YEYE,1920,2,OTH,873,RECON1,0.396
YEYE,1920,4,OTH,75,RECON1,0.034
YEYE,1920,4,TWL,1204,RECON1,0.546
YEYE,1920,6,OTH,3100,RECON1,1.406
YEYE,1921,2,OTH,1310,RECON1,0.594
YEYE,1921,4,OTH,62,RECON1,0.028
YEYE,1921,4,TWL,994,RECON1,0.451
YEYE,1921,6,OTH,2708,RECON1,1.228
YEYE,1922,2,OTH,976,RECON1,0.443
YEYE,1922,4,OTH,53,RECON1,0.024
YEYE,1922,4,TWL,855,RECON1,0.388
YEYE,1922,6,OTH,2664,RECON1,1.208
YEYE,1923,2,OTH,320,RECON1,0.145
YEYE,1923,4,OTH,58,RECON1,0.026
YEYE,1923,4,TWL,924,RECON1,0.419
YEYE,1923,6,OTH,3569,RECON1,1.619
YEYE,1924,2,OTH,875,RECON1,0.397
YEYE,1924,4,OTH,33,RECON1,0.015
YEYE,1924,4,TWL,531,RECON1,0.241
YEYE,1924,6,OTH,4785,RECON1,2.170
YEYE,1925,2,OTH,2837,RECON1,1.287
YEYE,1925,4,OTH,48,RECON1,0.022
YEYE,1925,4,TWL,372,RECON1,0.169
YEYE,1925,6,OTH,5250,RECON1,2.381
YEYE,1926,2,OTH,2799,RECON1,1.270
YEYE,1926,4,OTH,61,RECON1,0.028
YEYE,1926,4,TWL,1367,RECON1,0.620
YEYE,1926,6,OTH,6514,RECON1,2.955
YEYE,1927,2,OTH,5311,RECON1,2.409
YEYE,1927,4,OTH,27,RECON1,0.012
YEYE,1927,4,TWL,2304,RECON1,1.045
YEYE,1927,6,OTH,5406,RECON1,2.452
YEYE,1928,2,OTH,4581,RECON1,2.078
YEYE,1928,4,OTH,29,RECON1,0.013
YEYE,1928,4,TWL,2947,RECON1,1.337
YEYE,1928,6,OTH,4608,RECON1,2.090
YEYE,1929,2,OTH,4301,RECON1,1.951
YEYE,1929,2,TWL,861,RECON1,0.391
YEYE,1929,4,OTH,20,RECON1,0.009
YEYE,1929,4,TWL,2630,RECON1,1.193
YEYE,1929,6,OTH,4662,RECON1,2.115
YEYE,1930,2,OTH,6875,RECON1,3.118
YEYE,1930,2,TWL,493,RECON1,0.224
YEYE,1930,4,OTH,50,RECON1,0.023
YEYE,1930,4,TWL,2740,RECON1,1.243
YEYE,1930,6,OTH,4749,RECON1,2.154
YEYE,1931,2,OTH,9369,RECON1,4.250
YEYE,1931,2,TWL,1375,RECON1,0.624
YEYE,1931,4,OTH,65,RECON1,0.029
YEYE,1931,4,TWL,564,RECON1,0.256
YEYE,1931,6,OTH,1022,RECON1,0.464
YEYE,1932,2,OTH,6922,RECON1,3.140
YEYE,1932,2,TWL,1213,RECON1,0.550
YEYE,1932,4,OTH,63,RECON1,0.029
YEYE,1932,4,TWL,1099,RECON1,0.498
YEYE,1932,6,OTH,8620,RECON1,3.910
YEYE,1933,2,OTH,5186,RECON1,2.352
YEYE,1933,2,TWL,2142,RECON1,0.972
YEYE,1933,4,OTH,67,RECON1,0.030
YEYE,1933,4,TWL,1452,RECON1,0.659
YEYE,1933,6,OTH,953,RECON1,0.432
YEYE,1934,2,OTH,4683,RECON1,2.124
YEYE,1934,2,TWL,1539,RECON1,0.698
YEYE,1934,4,OTH,33,RECON1,0.015
YEYE,1934,4,TWL,2001,RECON1,0.908
YEYE,1934,6,OTH,4482,RECON1,2.033
YEYE,1935,2,OTH,8714,RECON1,3.953
YEYE,1935,2,TWL,1518,RECON1,0.689
YEYE,1935,4,OTH,48,RECON1,0.022
YEYE,1935,4,TWL,2182,RECON1,0.990
YEYE,1935,6,OTH,5153,RECON1,2.337
YEYE,1936,2,OTH,8387,RECON1,3.804
YEYE,1936,2,TWL,712,RECON1,0.323
YEYE,1936,4,OTH,46,RECON1,0.021
YEYE,1936,4,TWL,2567,RECON1,1.164
YEYE,1936,6,OTH,6109,RECON1,2.771
YEYE,1937,2,OTH,5762,RECON1,2.614
YEYE,1937,2,TWL,1853,RECON1,0.841
YEYE,1937,4,OTH,50,RECON1,0.023
YEYE,1937,4,TWL,2045,RECON1,0.928
YEYE,1937,6,OTH,3692,RECON1,1.675
YEYE,1938,0,UNK,316,RECON1,0.143
YEYE,1938,2,OTH,7884,RECON1,3.576
YEYE,1938,2,TWL,1927,RECON1,0.874
YEYE,1938,2,UNK,10,RECON1,0.005
YEYE,1938,4,OTH,47,RECON1,0.021
YEYE,1938,4,TWL,1671,RECON1,0.758
YEYE,1938,6,OTH,2120,RECON1,0.962
YEYE,1938,7,OTH,51,RECON1,0.023
YEYE,1939,0,UNK,612,RECON1,0.278
YEYE,1939,2,OTH,7589,RECON1,3.442
YEYE,1939,2,TWL,2842,RECON1,1.289
YEYE,1939,2,UNK,23,RECON1,0.010
YEYE,1939,4,OTH,50,RECON1,0.023
YEYE,1939,4,TWL,791,RECON1,0.359
YEYE,1939,6,OTH,2137,RECON1,0.969
YEYE,1939,7,OTH,139,RECON1,0.063
YEYE,1940,0,UNK,661,RECON1,0.300
YEYE,1940,2,OTH,2965,RECON1,1.345
YEYE,1940,2,TWL,2070,RECON1,0.939
YEYE,1940,2,UNK,12,RECON1,0.005
YEYE,1940,4,OTH,61,RECON1,0.028
YEYE,1940,4,TWL,1219,RECON1,0.553
YEYE,1940,6,OTH,2937,RECON1,1.332
YEYE,1940,7,OTH,142,RECON1,0.064
YEYE,1941,0,UNK,783,RECON1,0.355
YEYE,1941,2,OTH,5152,RECON1,2.337
YEYE,1941,2,TWL,1749,RECON1,0.793
YEYE,1941,2,UNK,6,RECON1,0.003
YEYE,1941,4,OTH,58,RECON1,0.026
YEYE,1941,4,TWL,642,RECON1,0.291
YEYE,1941,6,OTH,3218,RECON1,1.460
YEYE,1941,7,OTH,192,RECON1,0.087
YEYE,1942,0,UNK,484,RECON1,0.220
YEYE,1942,2,OTH,5067,RECON1,2.298
YEYE,1942,2,TWL,421,RECON1,0.191
YEYE,1942,2,UNK,30,RECON1,0.014
YEYE,1942,4,OTH,6,RECON1,0.003
YEYE,1942,4,TWL,127,RECON1,0.058
YEYE,1942,6,OTH,1230,RECON1,0.558
YEYE,1942,7,OTH,59,RECON1,0.027
YEYE,1943,0,UNK,426,RECON1,0.193
YEYE,1943,2,OTH,6763,RECON1,3.068
YEYE,1943,2,TWL,4159,RECON1,1.886
YEYE,1943,2,UNK,134,RECON1,0.061
YEYE,1943,4,OTH,18,RECON1,0.008
YEYE,1943,4,TWL,169,RECON1,0.077
YEYE,1943,6,OTH,1138,RECON1,0.516
YEYE,1943,7,OTH,173,RECON1,0.078
YEYE,1944,0,UNK,203,RECON1,0.092
YEYE,1944,2,OTH,34438,RECON1,15.621
YEYE,1944,2,TWL,17594,RECON1,7.981
YEYE,1944,2,UNK,1634,RECON1,0.741
YEYE,1944,4,OTH,6,RECON1,0.003
YEYE,1944,4,TWL,222,RECON1,0.101
YEYE,1944,6,OTH,760,RECON1,0.345
YEYE,1944,7,OTH,3,RECON1,0.001
YEYE,1945,0,UNK,49,RECON1,0.022
YEYE,1945,2,OTH,84681,RECON1,38.411
YEYE,1945,2,TWL,38670,RECON1,17.540
YEYE,1945,2,UNK,2853,RECON1,1.294
YEYE,1945,4,OTH,37,RECON1,0.017
YEYE,1945,4,TWL,1287,RECON1,0.584
YEYE,1945,6,OTH,1502,RECON1,0.681
YEYE,1945,7,OTH,24,RECON1,0.011
YEYE,1946,0,UNK,118,RECON1,0.054
YEYE,1946,2,OTH,88644,RECON1,40.208
YEYE,1946,2,TWL,32940,RECON1,14.941
YEYE,1946,2,UNK,1076,RECON1,0.488
YEYE,1946,4,OTH,77,RECON1,0.035
YEYE,1946,4,TWL,2717,RECON1,1.232
YEYE,1946,6,OTH,1647,RECON1,0.747
YEYE,1946,7,OTH,82,RECON1,0.037
YEYE,1947,0,UNK,141,RECON1,0.064
YEYE,1947,2,OTH,17881,RECON1,8.111
YEYE,1947,2,TWL,13755,RECON1,6.239
YEYE,1947,2,UNK,2020,RECON1,0.916
YEYE,1947,4,OTH,26,RECON1,0.012
YEYE,1947,4,TWL,932,RECON1,0.423
YEYE,1947,6,OTH,902,RECON1,0.409
YEYE,1947,7,OTH,235,RECON1,0.107
YEYE,1948,0,UNK,728,RECON1,0.330
YEYE,1948,2,OTH,34269,RECON1,15.544
YEYE,1948,2,TWL,11926,RECON1,5.410
YEYE,1948,2,UNK,1287,RECON1,0.584
YEYE,1948,4,OTH,27,RECON1,0.012
YEYE,1948,4,TWL,1830,RECON1,0.830
YEYE,1948,6,OTH,1087,RECON1,0.493
YEYE,1948,7,OTH,222,RECON1,0.101
YEYE,1949,0,UNK,466,RECON1,0.211
YEYE,1949,2,OTH,11345,RECON1,5.146
YEYE,1949,2,TWL,7017,RECON1,3.183
YEYE,1949,2,UNK,456,RECON1,0.207
YEYE,1949,4,OTH,35,RECON1,0.016
YEYE,1949,4,TWL,835,RECON1,0.379
YEYE,1949,6,OTH,1387,RECON1,0.629
YEYE,1949,7,OTH,259,RECON1,0.117
YEYE,1950,0,UNK,751,RECON1,0.341
YEYE,1950,2,OTH,6123,RECON1,2.777
YEYE,1950,2,TWL,5267,RECON1,2.389
YEYE,1950,2,UNK,192,RECON1,0.087
YEYE,1950,4,OTH,12,RECON1,0.005
YEYE,1950,4,TWL,1868,RECON1,0.847
YEYE,1950,6,OTH,3211,RECON1,1.456
YEYE,1950,7,OTH,273,RECON1,0.124
YEYE,1951,0,UNK,922,RECON1,0.418
YEYE,1951,2,OTH,11728,RECON1,5.320
YEYE,1951,2,TWL,17381,RECON1,7.884
YEYE,1951,2,UNK,296,RECON1,0.134
