YEAR,QUARTER,LIVE,MARK_CAT,GEAR_GRP,PORT_COMPLEX,SPECIES,POUNDS,SOURCE,SPECIES_GRP,MTONS
1969,1,N,977,TWL,BDG,YEYE,1443,RATIO,ROCKFISH,0.655
1969,1,N,977,TWL,BRG,YEYE,1092,RATIO,ROCKFISH,0.495
1969,1,N,977,HKL,CRS,YEYE,18,RATIO,ROCKFISH,0.008
1969,1,N,977,TWL,CRS,YEYE,3921,RATIO,ROCKFISH,1.779
1969,1,N,977,TWL,ERK,YEYE,8,RATIO T-1,ROCKFISH,0.004
1969,1,N,977,HKL,MNT,YEYE,159,RATIO,ROCKFISH,0.072
1969,1,N,977,HKL,MRO,YEYE,75,RATIO,ROCKFISH,0.034
1969,1,N,977,HKL,OLA,YEYE,393,RATIO,ROCKFISH,0.178
1969,1,N,977,HKL,OSB,YEYE,168,RATIO,ROCKFISH,0.076
1969,1,N,977,TWL,OSB,YEYE,38,RATIO,ROCKFISH,0.017
1969,1,N,977,HKL,OSD,YEYE,21,RATIO,ROCKFISH,0.010
1969,1,N,977,NET,OSD,YEYE,4,RATIO,ROCKFISH,0.002
1969,1,N,977,TWL,OSF,YEYE,555,RATIO,ROCKFISH,0.252
1969,2,N,977,TWL,BDG,YEYE,896,RATIO,ROCKFISH,0.406
1969,2,N,977,HKL,BRG,YEYE,32,RATIO,ROCKFISH,0.015
1969,2,N,977,TWL,BRG,YEYE,1943,RATIO,ROCKFISH,0.881
1969,2,N,977,HKL,CRS,YEYE,769,RATIO,ROCKFISH,0.349
1969,2,N,977,TWL,CRS,YEYE,8014,RATIO,ROCKFISH,3.635
1969,2,N,977,TWL,ERK,YEYE,18,RATIO T-1,ROCKFISH,0.008
1969,2,N,977,HKL,MNT,YEYE,9,RATIO,ROCKFISH,0.004
1969,2,N,977,HKL,MRO,YEYE,122,RATIO,ROCKFISH,0.055
1969,2,N,977,HKL,OLA,YEYE,493,RATIO,ROCKFISH,0.224
1969,2,N,977,HKL,OSB,YEYE,51,RATIO,ROCKFISH,0.023
1969,2,N,977,TWL,OSB,YEYE,75,RATIO,ROCKFISH,0.034
1969,2,N,977,HKL,OSD,YEYE,18,RATIO,ROCKFISH,0.008
1969,2,N,977,NET,OSD,YEYE,1,RATIO,ROCKFISH,0.000
1969,2,N,977,HKL,OSF,YEYE,11,RATIO,ROCKFISH,0.005
1969,2,N,977,NET,OSF,YEYE,1,RATIO,ROCKFISH,0.000
1969,2,N,977,TWL,OSF,YEYE,1223,RATIO,ROCKFISH,0.555
1969,3,N,977,TWL,BDG,YEYE,271,RATIO,ROCKFISH,0.123
1969,3,N,977,HKL,BRG,YEYE,71,RATIO,ROCKFISH,0.032
1969,3,N,977,TWL,BRG,YEYE,1251,RATIO,ROCKFISH,0.567
1969,3,N,977,HKL,CRS,YEYE,3836,RATIO,ROCKFISH,1.740
1969,3,N,977,TWL,CRS,YEYE,13221,RATIO,ROCKFISH,5.997
1969,3,N,977,TWL,ERK,YEYE,20,RATIO T-1,ROCKFISH,0.009
1969,3,N,977,HKL,MNT,YEYE,68,RATIO,ROCKFISH,0.031
1969,3,N,977,HKL,MRO,YEYE,615,RATIO,ROCKFISH,0.279
1969,3,N,977,HKL,OLA,YEYE,223,RATIO,ROCKFISH,0.101
1969,3,N,977,TWL,OSB,YEYE,120,RATIO,ROCKFISH,0.054
1969,3,N,977,HKL,OSD,YEYE,7,RATIO,ROCKFISH,0.003
1969,3,N,977,NET,OSD,YEYE,1,RATIO,ROCKFISH,0.000
1969,3,N,977,HKL,OSF,YEYE,52,RATIO,ROCKFISH,0.024
1969,3,N,977,NET,OSF,YEYE,17,RATIO,ROCKFISH,0.008
1969,3,N,977,TWL,OSF,YEYE,949,RATIO,ROCKFISH,0.430
1969,4,N,977,TWL,BDG,YEYE,601,RATIO,ROCKFISH,0.273
1969,4,N,977,HKL,BRG,YEYE,7,RATIO,ROCKFISH,0.003
1969,4,N,977,TWL,BRG,YEYE,1128,RATIO,ROCKFISH,0.512
1969,4,N,977,HKL,CRS,YEYE,362,RATIO,ROCKFISH,0.164
1969,4,N,977,TWL,CRS,YEYE,10263,RATIO,ROCKFISH,4.655
1969,4,N,977,TWL,ERK,YEYE,5,RATIO T-1,ROCKFISH,0.002
1969,4,N,977,HKL,MNT,YEYE,108,RATIO,ROCKFISH,0.049
1969,4,N,977,HKL,MRO,YEYE,534,RATIO,ROCKFISH,0.242
1969,4,N,977,HKL,OLA,YEYE,333,RATIO,ROCKFISH,0.151
1969,4,N,977,HKL,OSB,YEYE,13,RATIO,ROCKFISH,0.006
1969,4,N,977,TWL,OSB,YEYE,81,RATIO,ROCKFISH,0.037
1969,4,N,977,HKL,OSD,YEYE,7,RATIO,ROCKFISH,0.003
1969,4,N,977,NET,OSD,YEYE,2,RATIO,ROCKFISH,0.001
1969,4,N,977,HKL,OSF,YEYE,7,RATIO,ROCKFISH,0.003
1969,4,N,977,NET,OSF,YEYE,2,RATIO,ROCKFISH,0.001
1969,4,N,977,TWL,OSF,YEYE,922,RATIO,ROCKFISH,0.418
1970,1,N,977,TWL,BDG,YEYE,400,RATIO,ROCKFISH,0.181
1970,1,N,977,HKL,BRG,YEYE,1,RATIO,ROCKFISH,0.000
1970,1,N,977,TWL,BRG,YEYE,1655,RATIO,ROCKFISH,0.751
1970,1,N,977,HKL,CRS,YEYE,28,RATIO,ROCKFISH,0.013
1970,1,N,977,TWL,CRS,YEYE,4664,RATIO,ROCKFISH,2.116
1970,1,N,977,TWL,ERK,YEYE,4,RATIO T-1,ROCKFISH,0.002
1970,1,N,977,HKL,MNT,YEYE,198,RATIO,ROCKFISH,0.090
1970,1,N,977,HKL,MRO,YEYE,1626,RATIO,ROCKFISH,0.738
1970,1,N,977,HKL,OLA,YEYE,428,RATIO,ROCKFISH,0.194
1970,1,N,977,HKL,OSB,YEYE,12,RATIO,ROCKFISH,0.005
1970,1,N,977,NET,OSB,YEYE,3,RATIO,ROCKFISH,0.001
1970,1,N,977,TWL,OSB,YEYE,59,RATIO,ROCKFISH,0.027
1970,1,N,977,HKL,OSD,YEYE,18,RATIO,ROCKFISH,0.008
1970,1,N,977,NET,OSD,YEYE,2,RATIO,ROCKFISH,0.001
1970,1,N,977,HKL,OSF,YEYE,2,RATIO,ROCKFISH,0.001
1970,1,N,977,TWL,OSF,YEYE,1806,RATIO,ROCKFISH,0.819
1970,2,N,977,TWL,BDG,YEYE,154,RATIO,ROCKFISH,0.070
1970,2,N,977,HKL,BRG,YEYE,22,RATIO,ROCKFISH,0.010
1970,2,N,977,TWL,BRG,YEYE,1684,RATIO,ROCKFISH,0.764
1970,2,N,977,HKL,CRS,YEYE,368,RATIO,ROCKFISH,0.167
1970,2,N,977,TWL,CRS,YEYE,15001,RATIO,ROCKFISH,6.804
1970,2,N,977,TWL,ERK,YEYE,12,RATIO T-1,ROCKFISH,0.005
1970,2,N,977,HKL,MNT,YEYE,30,RATIO,ROCKFISH,0.014
1970,2,N,977,HKL,MRO,YEYE,699,RATIO,ROCKFISH,0.317
1970,2,N,977,HKL,OLA,YEYE,254,RATIO,ROCKFISH,0.115
1970,2,N,977,HKL,OSB,YEYE,33,RATIO,ROCKFISH,0.015
1970,2,N,977,TWL,OSB,YEYE,27,RATIO,ROCKFISH,0.012
1970,2,N,977,HKL,OSD,YEYE,28,RATIO,ROCKFISH,0.013
1970,2,N,977,NET,OSD,YEYE,1,RATIO,ROCKFISH,0.000
1970,2,N,977,HKL,OSF,YEYE,7,RATIO,ROCKFISH,0.003
1970,2,N,977,TWL,OSF,YEYE,917,RATIO,ROCKFISH,0.416
1970,3,N,977,TWL,BDG,YEYE,500,RATIO,ROCKFISH,0.227
1970,3,N,977,HKL,BRG,YEYE,94,RATIO,ROCKFISH,0.043
1970,3,N,977,TWL,BRG,YEYE,2369,RATIO,ROCKFISH,1.075
1970,3,N,977,HKL,CRS,YEYE,1673,RATIO,ROCKFISH,0.759
1970,3,N,977,TWL,CRS,YEYE,12234,RATIO,ROCKFISH,5.549
1970,3,N,977,TWL,ERK,YEYE,24,RATIO T-1,ROCKFISH,0.011
1970,3,N,977,HKL,MNT,YEYE,60,RATIO,ROCKFISH,0.027
1970,3,N,977,HKL,MRO,YEYE,610,RATIO,ROCKFISH,0.277
1970,3,N,977,HKL,OLA,YEYE,134,RATIO,ROCKFISH,0.061
1970,3,N,977,TWL,OSB,YEYE,40,RATIO,ROCKFISH,0.018
1970,3,N,977,HKL,OSD,YEYE,9,RATIO,ROCKFISH,0.004
1970,3,N,977,HKL,OSF,YEYE,43,RATIO,ROCKFISH,0.020
1970,3,N,977,NET,OSF,YEYE,2,RATIO,ROCKFISH,0.001
1970,3,N,977,TWL,OSF,YEYE,1461,RATIO,ROCKFISH,0.663
1970,4,N,977,TWL,BDG,YEYE,871,RATIO,ROCKFISH,0.395
1970,4,N,977,HKL,BRG,YEYE,4,RATIO,ROCKFISH,0.002
1970,4,N,977,TWL,BRG,YEYE,1957,RATIO,ROCKFISH,0.888
1970,4,N,977,HKL,CRS,YEYE,298,RATIO,ROCKFISH,0.135
1970,4,N,977,TWL,CRS,YEYE,5738,RATIO,ROCKFISH,2.603
1970,4,N,977,TWL,ERK,YEYE,12,RATIO T-1,ROCKFISH,0.005
1970,4,N,977,HKL,MNT,YEYE,116,RATIO,ROCKFISH,0.053
1970,4,N,977,HKL,MRO,YEYE,557,RATIO,ROCKFISH,0.253
1970,4,N,977,HKL,OLA,YEYE,156,RATIO,ROCKFISH,0.071
1970,4,N,977,HKL,OSB,YEYE,108,RATIO,ROCKFISH,0.049
1970,4,N,977,TWL,OSB,YEYE,30,RATIO,ROCKFISH,0.014
1970,4,N,977,HKL,OSD,YEYE,11,RATIO,ROCKFISH,0.005
1970,4,N,977,HKL,OSF,YEYE,26,RATIO,ROCKFISH,0.012
1970,4,N,977,TWL,OSF,YEYE,1778,RATIO,ROCKFISH,0.806
1971,1,N,977,TWL,BDG,YEYE,476,RATIO,ROCKFISH,0.216
1971,1,N,977,HKL,BRG,YEYE,7,RATIO,ROCKFISH,0.003
1971,1,N,977,TWL,BRG,YEYE,2265,RATIO,ROCKFISH,1.027
1971,1,N,977,HKL,CRS,YEYE,236,RATIO,ROCKFISH,0.107
1971,1,N,977,TWL,CRS,YEYE,4572,RATIO,ROCKFISH,2.074
1971,1,N,977,TWL,ERK,YEYE,10,RATIO T-1,ROCKFISH,0.005
1971,1,N,977,HKL,MNT,YEYE,132,RATIO,ROCKFISH,0.060
1971,1,N,977,HKL,MRO,YEYE,2065,RATIO,ROCKFISH,0.937
1971,1,N,977,HKL,OLA,YEYE,342,RATIO,ROCKFISH,0.155
1971,1,N,977,HKL,OSB,YEYE,284,RATIO,ROCKFISH,0.129
1971,1,N,977,TWL,OSB,YEYE,25,RATIO,ROCKFISH,0.011
1971,1,N,977,HKL,OSD,YEYE,35,RATIO,ROCKFISH,0.016
1971,1,N,977,NET,OSD,YEYE,3,RATIO,ROCKFISH,0.001
1971,1,N,977,HKL,OSF,YEYE,21,RATIO,ROCKFISH,0.010
1971,1,N,977,TWL,OSF,YEYE,1184,RATIO,ROCKFISH,0.537
1971,2,N,977,TWL,BDG,YEYE,2257,RATIO,ROCKFISH,1.024
1971,2,N,977,HKL,BRG,YEYE,72,RATIO,ROCKFISH,0.033
1971,2,N,977,TWL,BRG,YEYE,1356,RATIO,ROCKFISH,0.615
1971,2,N,977,HKL,CRS,YEYE,498,RATIO,ROCKFISH,0.226
1971,2,N,977,TWL,CRS,YEYE,16813,RATIO,ROCKFISH,7.626
1971,2,N,977,TWL,ERK,YEYE,12,RATIO T-1,ROCKFISH,0.005
1971,2,N,977,HKL,MNT,YEYE,43,RATIO,ROCKFISH,0.020
1971,2,N,977,HKL,MRO,YEYE,501,RATIO,ROCKFISH,0.227
1971,2,N,977,HKL,OLA,YEYE,224,RATIO,ROCKFISH,0.102
1971,2,N,977,HKL,OSB,YEYE,60,RATIO,ROCKFISH,0.027
1971,2,N,977,TWL,OSB,YEYE,56,RATIO,ROCKFISH,0.025
1971,2,N,977,HKL,OSD,YEYE,26,RATIO,ROCKFISH,0.012
1971,2,N,977,HKL,OSF,YEYE,40,RATIO,ROCKFISH,0.018
1971,2,N,977,TWL,OSF,YEYE,2202,RATIO,ROCKFISH,0.999
1971,3,N,977,TWL,BDG,YEYE,1673,RATIO,ROCKFISH,0.759
1971,3,N,977,HKL,BRG,YEYE,146,RATIO,ROCKFISH,0.066
1971,3,N,977,TWL,BRG,YEYE,1568,RATIO,ROCKFISH,0.711
1971,3,N,977,HKL,CRS,YEYE,2669,RATIO,ROCKFISH,1.211
1971,3,N,977,TWL,CRS,YEYE,13208,RATIO,ROCKFISH,5.991
1971,3,N,977,TWL,ERK,YEYE,32,RATIO T-1,ROCKFISH,0.015
1971,3,N,977,HKL,MNT,YEYE,40,RATIO,ROCKFISH,0.018
1971,3,N,977,HKL,MRO,YEYE,856,RATIO,ROCKFISH,0.388
1971,3,N,977,HKL,OLA,YEYE,110,RATIO,ROCKFISH,0.050
1971,3,N,977,HKL,OSB,YEYE,4,RATIO,ROCKFISH,0.002
1971,3,N,977,TWL,OSB,YEYE,48,RATIO,ROCKFISH,0.022
1971,3,N,977,HKL,OSD,YEYE,15,RATIO,ROCKFISH,0.007
1971,3,N,977,NET,OSD,YEYE,1,RATIO,ROCKFISH,0.000
1971,3,N,977,HKL,OSF,YEYE,52,RATIO,ROCKFISH,0.024
1971,3,N,977,NET,OSF,YEYE,5,RATIO,ROCKFISH,0.002
1971,3,N,977,TWL,OSF,YEYE,1665,RATIO,ROCKFISH,0.755
1971,4,N,977,TWL,BDG,YEYE,1661,RATIO,ROCKFISH,0.753
1971,4,N,977,HKL,BRG,YEYE,2,RATIO,ROCKFISH,0.001
1971,4,N,977,TWL,BRG,YEYE,1207,RATIO,ROCKFISH,0.547
1971,4,N,977,HKL,CRS,YEYE,423,RATIO,ROCKFISH,0.192
1971,4,N,977,TWL,CRS,YEYE,37663,RATIO,ROCKFISH,17.084
1971,4,N,977,TWL,ERK,YEYE,20,RATIO T-1,ROCKFISH,0.009
1971,4,N,977,HKL,MNT,YEYE,61,RATIO,ROCKFISH,0.028
1971,4,N,977,HKL,MRO,YEYE,1026,RATIO,ROCKFISH,0.465
1971,4,N,977,HKL,OLA,YEYE,296,RATIO,ROCKFISH,0.134
1971,4,N,977,TWL,OLA,YEYE,3,RATIO,ROCKFISH,0.001
1971,4,N,977,HKL,OSB,YEYE,46,RATIO,ROCKFISH,0.021
1971,4,N,977,TWL,OSB,YEYE,98,RATIO,ROCKFISH,0.044
1971,4,N,977,HKL,OSD,YEYE,18,RATIO,ROCKFISH,0.008
1971,4,N,977,HKL,OSF,YEYE,52,RATIO,ROCKFISH,0.024
1971,4,N,977,NET,OSF,YEYE,6,RATIO,ROCKFISH,0.003
1971,4,N,977,TWL,OSF,YEYE,2013,RATIO,ROCKFISH,0.913
1972,1,N,977,TWL,BDG,YEYE,1300,RATIO,ROCKFISH,0.590
1972,1,N,977,HKL,BRG,YEYE,13,RATIO,ROCKFISH,0.006
1972,1,N,977,TWL,BRG,YEYE,2486,RATIO,ROCKFISH,1.128
1972,1,N,977,HKL,CRS,YEYE,294,RATIO,ROCKFISH,0.133
1972,1,N,977,TWL,CRS,YEYE,17938,RATIO,ROCKFISH,8.137
1972,1,N,977,TWL,ERK,YEYE,19,RATIO T-1,ROCKFISH,0.009
1972,1,N,977,HKL,MNT,YEYE,77,RATIO,ROCKFISH,0.035
1972,1,N,977,HKL,MRO,YEYE,1130,RATIO,ROCKFISH,0.513
1972,1,N,977,HKL,OLA,YEYE,539,RATIO,ROCKFISH,0.244
1972,1,N,977,TWL,OLA,YEYE,1,RATIO,ROCKFISH,0.000
1972,1,N,977,HKL,OSB,YEYE,152,RATIO,ROCKFISH,0.069
1972,1,N,977,TWL,OSB,YEYE,38,RATIO,ROCKFISH,0.017
1972,1,N,977,HKL,OSD,YEYE,62,RATIO,ROCKFISH,0.028
1972,1,N,977,NET,OSD,YEYE,4,RATIO,ROCKFISH,0.002
1972,1,N,977,HKL,OSF,YEYE,13,RATIO,ROCKFISH,0.006
1972,1,N,977,NET,OSF,YEYE,1,RATIO,ROCKFISH,0.000
1972,1,N,977,TWL,OSF,YEYE,1441,RATIO,ROCKFISH,0.654
1972,2,N,977,TWL,BDG,YEYE,473,RATIO,ROCKFISH,0.215
1972,2,N,977,HKL,BRG,YEYE,68,RATIO,ROCKFISH,0.031
1972,2,N,977,TWL,BRG,YEYE,2000,RATIO,ROCKFISH,0.907
1972,2,N,977,HKL,CRS,YEYE,2372,RATIO,ROCKFISH,1.076
1972,2,N,977,TWL,CRS,YEYE,18590,RATIO,ROCKFISH,8.432
1972,2,N,977,TWL,ERK,YEYE,16,RATIO T-1,ROCKFISH,0.007
1972,2,N,977,HKL,MNT,YEYE,21,RATIO,ROCKFISH,0.010
1972,2,N,977,HKL,MRO,YEYE,659,RATIO,ROCKFISH,0.299
1972,2,N,977,HKL,OLA,YEYE,334,RATIO,ROCKFISH,0.152
1972,2,N,977,TWL,OLA,YEYE,4,RATIO,ROCKFISH,0.002
1972,2,N,977,HKL,OSB,YEYE,146,RATIO,ROCKFISH,0.066
1972,2,N,977,TWL,OSB,YEYE,106,RATIO,ROCKFISH,0.048
1972,2,N,977,HKL,OSD,YEYE,56,RATIO,ROCKFISH,0.025
1972,2,N,977,HKL,OSF,YEYE,30,RATIO,ROCKFISH,0.014
1972,2,N,977,TWL,OSF,YEYE,1908,RATIO,ROCKFISH,0.865
1972,3,N,977,TWL,BDG,YEYE,355,RATIO,ROCKFISH,0.161
1972,3,N,977,HKL,BRG,YEYE,343,RATIO,ROCKFISH,0.156
1972,3,N,977,TWL,BRG,YEYE,3643,RATIO,ROCKFISH,1.652
1972,3,N,977,HKL,CRS,YEYE,5086,RATIO,ROCKFISH,2.307
1972,3,N,977,TWL,CRS,YEYE,24694,RATIO,ROCKFISH,11.201
1972,3,N,977,TWL,ERK,YEYE,24,RATIO T-1,ROCKFISH,0.011
1972,3,N,977,HKL,MNT,YEYE,134,RATIO,ROCKFISH,0.061
1972,3,N,977,HKL,MRO,YEYE,1264,RATIO,ROCKFISH,0.573
1972,3,N,977,HKL,OLA,YEYE,150,RATIO,ROCKFISH,0.068
1972,3,N,977,TWL,OLA,YEYE,2,RATIO,ROCKFISH,0.001
1972,3,N,977,HKL,OSB,YEYE,44,RATIO,ROCKFISH,0.020
1972,3,N,977,TWL,OSB,YEYE,89,RATIO,ROCKFISH,0.040
1972,3,N,977,HKL,OSD,YEYE,27,RATIO,ROCKFISH,0.012
1972,3,N,977,HKL,OSF,YEYE,137,RATIO,ROCKFISH,0.062
1972,3,N,977,NET,OSF,YEYE,5,RATIO,ROCKFISH,0.002
1972,3,N,977,TWL,OSF,YEYE,1582,RATIO,ROCKFISH,0.718
1972,4,N,977,TWL,BDG,YEYE,3315,RATIO,ROCKFISH,1.504
1972,4,N,977,HKL,BRG,YEYE,37,RATIO,ROCKFISH,0.017
1972,4,N,977,TWL,BRG,YEYE,1981,RATIO,ROCKFISH,0.899
1972,4,N,977,HKL,CRS,YEYE,757,RATIO,ROCKFISH,0.343
1972,4,N,977,TWL,CRS,YEYE,38480,RATIO,ROCKFISH,17.454
1972,4,N,977,TWL,ERK,YEYE,11,RATIO T-1,ROCKFISH,0.005
1972,4,N,977,HKL,MNT,YEYE,228,RATIO,ROCKFISH,0.103
1972,4,N,977,HKL,MRO,YEYE,1540,RATIO,ROCKFISH,0.699
1972,4,N,977,HKL,OLA,YEYE,550,RATIO,ROCKFISH,0.249
1972,4,N,977,HKL,OSB,YEYE,35,RATIO,ROCKFISH,0.016
1972,4,N,977,TWL,OSB,YEYE,98,RATIO,ROCKFISH,0.044
1972,4,N,977,HKL,OSD,YEYE,27,RATIO,ROCKFISH,0.012
1972,4,N,977,NET,OSD,YEYE,2,RATIO,ROCKFISH,0.001
1972,4,N,977,HKL,OSF,YEYE,48,RATIO,ROCKFISH,0.022
1972,4,N,977,NET,OSF,YEYE,15,RATIO,ROCKFISH,0.007
1972,4,N,977,TWL,OSF,YEYE,3354,RATIO,ROCKFISH,1.521
1973,1,N,977,TWL,BDG,YEYE,1503,RATIO,ROCKFISH,0.682
1973,1,N,977,HKL,BRG,YEYE,133,RATIO,ROCKFISH,0.060
1973,1,N,977,TWL,BRG,YEYE,2234,RATIO,ROCKFISH,1.013
1973,1,N,977,TWL,CRS,YEYE,7519,RATIO,ROCKFISH,3.411
1973,1,N,977,TWL,ERK,YEYE,10,RATIO T-1,ROCKFISH,0.005
1973,1,N,977,HKL,MNT,YEYE,374,RATIO,ROCKFISH,0.170
1973,1,N,977,HKL,MRO,YEYE,1477,RATIO,ROCKFISH,0.670
1973,1,N,977,HKL,OLA,YEYE,588,RATIO,ROCKFISH,0.267
1973,1,N,977,HKL,OSB,YEYE,194,RATIO,ROCKFISH,0.088
1973,1,N,977,NET,OSB,YEYE,5,RATIO,ROCKFISH,0.002
1973,1,N,977,TWL,OSB,YEYE,73,RATIO,ROCKFISH,0.033
1973,1,N,977,HKL,OSD,YEYE,47,RATIO,ROCKFISH,0.021
1973,1,N,977,NET,OSD,YEYE,5,RATIO,ROCKFISH,0.002
1973,1,N,977,HKL,OSF,YEYE,28,RATIO,ROCKFISH,0.013
1973,1,N,977,NET,OSF,YEYE,3,RATIO,ROCKFISH,0.001
1973,1,N,977,TWL,OSF,YEYE,7812,RATIO,ROCKFISH,3.543
1973,2,N,977,TWL,BDG,YEYE,542,RATIO,ROCKFISH,0.246
1973,2,N,977,HKL,BRG,YEYE,83,RATIO,ROCKFISH,0.038
1973,2,N,977,TWL,BRG,YEYE,1534,RATIO,ROCKFISH,0.696
1973,2,N,977,HKL,CRS,YEYE,611,RATIO,ROCKFISH,0.277
1973,2,N,977,TWL,CRS,YEYE,20140,RATIO,ROCKFISH,9.135
1973,2,N,977,TWL,ERK,YEYE,18,RATIO T-1,ROCKFISH,0.008
1973,2,N,977,HKL,MNT,YEYE,104,RATIO,ROCKFISH,0.047
1973,2,N,977,HKL,MRO,YEYE,1402,RATIO,ROCKFISH,0.636
1973,2,N,977,HKL,OLA,YEYE,413,RATIO,ROCKFISH,0.187
1973,2,N,977,HKL,OSB,YEYE,109,RATIO,ROCKFISH,0.049
1973,2,N,977,TWL,OSB,YEYE,101,RATIO,ROCKFISH,0.046
1973,2,N,977,HKL,OSD,YEYE,60,RATIO,ROCKFISH,0.027
1973,2,N,977,NET,OSD,YEYE,4,RATIO,ROCKFISH,0.002
1973,2,N,977,HKL,OSF,YEYE,83,RATIO,ROCKFISH,0.038
1973,2,N,977,NET,OSF,YEYE,3,RATIO,ROCKFISH,0.001
1973,2,N,977,TWL,OSF,YEYE,4546,RATIO,ROCKFISH,2.062
1973,3,N,977,TWL,BDG,YEYE,1108,RATIO,ROCKFISH,0.503
1973,3,N,977,HKL,BRG,YEYE,259,RATIO,ROCKFISH,0.117
1973,3,N,977,TWL,BRG,YEYE,2849,RATIO,ROCKFISH,1.292
