Sci Name,Year,Wave,Date1,Common,Group,Super,Mode,Area,Sp Code,Sp Name,Gp Code,Sg Code,Common2,St,St Name,Mode Fx,Area X,Tsp Wgt,Tsp Exam,Tsp Rel,Tsp Harv,Tspclaim,Tspavew,Smp Trip,Numvar,Percent,Estrips,Estclaim,Estrel,Estharv,Estwgt,F Per T,Varclaim,Varrel,Varharv,Unarptrp,Unahptrp,Estclvar,Estrlvar,Esthvar,Sub Reg,Sub Reg Name,Wgt Ab1,Lbs Ab1,Tot Cat,Tot Var,Landing,Land Var,Estwtvar,Varwgt,Var Wab1,Var Lbs,Mode F,Type,Tspavel,Tsp Lex,Tsp Len,Lngssq,Wgtssq,Varlngth,Survey,Outflg,Pool Flg,Ex Flg,Int Trip,Ttrip,Numrtrip,Varel,Sub Wgt,Sub Exam,Sub Ssq,Sub Ave,Subvar,St Wgt,St Exam,St Ssq,St Ave,Stvar,Flag Wgt,Recalc,B1 Per A,B2 Per A,Totalvar,Estrips0,Numvar0,B2lm,B2lv,B2ln,B2km,B2kv,B2kn,B2wk,B2wkv,B2wkf,Type,Freq,B1 B2,B,Lenb1n,Lenb1m,Lenb1ssq,Lenb1sum,Wgtb1n,Wgtb1m,Wgtb1ssq,Wgtb1sum,Lenb1v,Wgtb1v,Lenb2n,Lenb2m,Lenb2ssq,Lenb2sum,Wgtb2n,Wgtb2m,Wgtb2ssq,Wgtb2sum,Lenb2v,Wgtb2v,Wgt B1,Wgt B1v,Pctb1,Recfinsp,B1we,B1wev,B2we,B2wev,Lenb1s,Wgtb1s,Lenb2s,Wgtb2s,Ate,B1mev,B2mev,Awem,Awemv,B1wem,B1wemv,B2wem,B2wemv,Te,Tev,Recfin Vdate
Sebastes ruberrimus,2004,2,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,1,-,0,-,-,-,-,33,2338942.961,-,17904,4,0,108.4747864,-,-,9.57866E-09,-,-,0,0.006058522,2.981011577,0,0,2,Northern California,-,-,111.9796884,2.981011577,111.9796884,2.981011577,-,-,-,-,-,-,-,0,-,-,-,-,CRFS,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2.405446877,-,-,-,-,-,-,-,264,-,-,-,-,-,-,1024,4.810893755,-,2.67811E-07,0,-,-,-,-,-,-,-,-,10/17/2024
Sebastes ruberrimus,2004,2,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,6,2,0.71,1,-,-,-,0.71,101,92859228.54,-,40243,69,-,-,48.7105012,-,3.05311E-06,-,-,-,-,4674.60654,0,0,1,Southern California,48.7105012,-,68.60633972,4674.60654,68.60633972,4674.60654,-3922.028542,-,-3922.028542,-,-,-,341,1,341,-,-,-,CRFS,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,512,-,-,1,2.405446877,-,-,-,-,-,-,-,264,-,0,-,0,-,-,512,2.405446877,-,-,-,0.71,-0.3326144,-,-,-,-,-,-,10/17/2024
Sebastes ruberrimus,2004,1,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,1,-,0,-,-,-,-,200,277804.5627,-,5709,0,79.7170398,0,-,-,0,-,-,0.013963334,0,0,852.753112,0,2,Northern California,-,-,79.7170398,852.753112,0,0,-,-,-,-,-,-,-,0,-,-,-,-,CRFS,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1536,-,-,3,2.405446877,-,-,-,-,-,-,-,264,-,-,191.7551045,-,-,-,1536,7.216340632,-,0,2.78256E-05,-,-,-,-,2.405446877,-,-,-,10/17/2024
Sebastes ruberrimus,2004,1,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,6,1,-,0,-,-,-,-,30,6407932.084,-,11506,-,65.74828935,0,-,-,-,-,-,0.005714286,0,0,2403.083778,0,2,Northern California,-,-,65.74828935,2403.083778,0,0,0,-,0,-,-,-,-,0,-,-,-,-,CRFS,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,512,-,-,1,2.405446877,-,-,-,-,-,-,-,264,-,0,158.1540173,222834.7436,-,-,512,2.405446877,-,0,1.97325E-05,-,-,-,-,2.405446877,54.76481669,-,-,10/17/2024
Sebastes ruberrimus,2004,3,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,2,33.72731156,12,-,-,-,2.810609297,770,38975900.6,-,39792,53,68.21838989,19.37334747,148.0789584,-,1.32654E-07,-,-,0.001714392,0.00048687,141.7132022,762.1019415,47.14895083,2,Northern California,183.7924736,-,140.2774517,950.9640946,72.05906176,188.862153,6735.08208,25.97580294,7382.161219,-,-,-,502.6666667,12,6032,-,-,157761.3333,CRFS,-,-,-,323,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,512,-,-,5,2.405446877,-,-,-,-,-,-,-,264,35.71351521,647.0791383,164.095713,10967.84686,-,-,2560,12.02723439,-,3.56125E-08,5.53665E-07,2.810609297,2.829668167,1.843435434,2.150935412,2.405446877,3.30432577,-,-,10/17/2024
Sebastes ruberrimus,2004,3,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,5,8.431827891,3,-,-,-,2.810609297,2,2775214.845,-,15099,0,3.85,0,-,-,0,-,-,0.000254976,0,0,0,0,2,Northern California,0,-,3.85,0,0,0,0,6.493950734,0,-,-,-,502.6666667,3,1508,-,-,39440.33333,CRFS,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,512,-,-,1,2.405446877,-,-,-,-,-,-,-,264,0,0,9.260970478,96.25658475,-,-,512,2.405446877,-,0,7.91356E-10,-,-,-,-,2.405446877,6.493950734,-,-,10/17/2024
Sebastes ruberrimus,2004,5,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,6,1,-,0,-,-,-,-,119,15197635.17,-,21568,27,189.6639851,0,-,-,1.84676E-06,-,-,0.00879397,0,835.0464206,30538.56199,0,2,Northern California,-,-,216.7588401,31373.60841,27.09485501,835.0464206,0,-,0,-,-,-,-,0,-,-,-,-,CRFS,-,-,-,94,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,505,-,-,10,2.311558395,-,-,490,0.088150471,-,-,-,264,-,0,438.4193769,163564.5614,-,-,5050,23.11558395,-,0,6.81788E-05,-,-,-,-,2.311558395,9.083104825,-,-,10/17/2024
Sebastes ruberrimus,2004,4,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,1,52.68715797,36,-,-,-,1.463532166,6495,165458950.7,-,116979,162,499.5305193,80.13285502,218.8573972,-,7.86644E-08,-,-,0.004270264,0.00068502,760.5150718,6197.823272,549.6498081,2,Northern California,328.8167472,-,741.3074404,7507.988152,241.7769211,1310.16488,3948.597826,2.063876505,6184.072276,-,-,-,447.8333333,36,16122,-,-,24905.8,CRFS,-,-,-,2749,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1536,-,-,9,2.405446877,-,-,-,-,-,-,-,264,109.95935,2235.47445,1201.594128,30846.55257,-,-,4608,21.6490219,-,4.58411E-08,6.73411E-07,1.353946374,0.204477473,1.372213058,0.509314443,2.405446877,0.267334761,-,-,10/17/2024
Sebastes ruberrimus,2004,4,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,2,8.781192995,6,-,-,-,1.463532166,4,28684.60569,-,555,0,0,63.11846773,-,-,0,-,-,0,0.113673413,0,0,0,2,Northern California,92.37590779,-,63.11846773,0,63.11846773,0,0,0.343979418,1370.393694,-,-,-,447.8333333,6,2687,-,-,4150.966667,CRFS,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.405446877,-,-,-,-,-,-,-,264,92.37590779,1370.393694,0,0,-,-,512,2.405446877,-,0.001202186,0,-,-,1.463532166,0.343979418,-,-,-,-,10/17/2024
Sebastes ruberrimus,2004,3,,yelloweye rockfish,59. OTHER ROCKFISHES,Q. ROCKFISHES,,,8826010134,yelloweye rockfish,059,Q,,6,California,7,1,8.431827891,3,-,-,-,2.810609297,183,991506.0997,-,12906,20,4,0,55.05782855,-,5.52177E-07,-,-,0.000309926,0,89.6936846,0,0,2,Northern California,55.05782855,-,23.58928571,89.6936846,19.58928571,89.6936846,2618.060501,6.493950734,2618.060501,-,-,-,502.6666667,3,1508,-,-,39440.33333,CRFS,-,-,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,512,-,-,1,2.405446877,-,-,-,-,-,-,-,264,0,0,9.62178751,103.9032117,-,-,512,2.405446877,-,0,5.71748E-10,2.810609297,8.668882513,-,-,2.405446877,6.493950734,-,-,10/17/2024
