BDS sample code,BDS fish number,YearTag,sample_year,fish_length_cm,sex_name,weight_gm,maturity,STLKEY,Station,IPHC Charter Region,Lat - Grid target,Lon - Grid target,AvgDepth (fm),cmnnme,ConversionComments,Bait
410129-R-02001,1,20021042,2002,52,Female,2280,1,20020374,1049,Washington (incl. NW Oregon waters),45.6667,-124.4167,91,Yelloweye Rockfish,,Chum
410129-R-02002,5,20021007,2002,60,Female,3905,1,20020391,1081,Washington (incl. NW Oregon waters),48.1667,-125.1333,76,Yelloweye Rockfish,,Chum
410129-R-02002,1,20021012,2002,62,Female,4760,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,2,20021018,2002,54,Female,2735,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,3,20021010,2002,68,Male,7175,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,4,20021021,2002,60,Female,4200,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,6,20021017,2002,64,Male,5190,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,7,20021013,2002,58,Female,3410,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,8,20021022,2002,68,Male,6375,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,9,20021019,2002,62,Female,4430,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,10,20021011,2002,54,Female,2785,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,11,20021020,2002,68,Female,6090,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,12,20021014,2002,53,Male,2480,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,13,20021016,2002,63,Male,4585,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,14,20021009,2002,52,Female,2425,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,15,20021008,2002,67,Male,5350,1,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02002,16,20021015,2002,51,Male,2355,0,20020393,1082,Washington (incl. NW Oregon waters),48.1667,-125.3833,61,Yelloweye Rockfish,,Chum
410129-R-02003,1,20021061,2002,56,Female,3870,1,20020588,1027,Oregon (S. of 45 Deg 20 Min),44.3333,-124.6667,52,Yelloweye Rockfish,,Chum
