SurveyYear,DataSource,Season,Station,Skates hauled (100 hk/skt),Min Depth (fm),Max depth (fm),Arrowtooth Flounder,Basketstar,Big Skate,Black Rockfish,Black Skate,Blood Sea Star,Blue Shark,Bocaccio,Box Crab,Cabezon,Canary Rockfish,Copper Rockfish,Darkblotched Rkfish,Dover Sole,Dungeness Crab,Flathead Sole,Gastropod,Giant Wrymouth,Great Sculpin,Greenling,Greenspotted Rockfish,Greenstriped Rockfish,Grenadier (Rattails),Harbour Seal,Inanimate object,Jellyfish,Lingcod,Longnose Skate,Northern Rockfish,Octopus,Oregon Rock Crab,Pacific Cod,Pacific Hagfish,Pacific Hake,Pacific Halibut,Petrale Sole,Quillback Rockfish,Red Irish Lord,Redbanded Rockfish,Rock Sole,Rosethorn Rockfish,Rougheye Rockfish,Sablefish,Sand Dab,Sand Sole,Sandpaper Skate,Scallop,Sea Anemone,Sea Cucumber,Sea Pen,Sea Urchin,Sea Whip,Shells,Shortraker Rockfish,Shortspine Thornyhead,Silvergray Rockfish,Sixgill Shark,Sleeper Shark,Slender Sole,Solaster sp (starfish),Soupfin Shark,Spiny Dogfish,Spotted Ratfish,Starry Flounder,Sun Sea Star,Sunflower Sea Star,Tiger Rockfish,unident_ Coral,unident_ Crab,Unident_ Flounder,unident_ Invertebrate,unident_ organic matter,Unident_ Rockfish,unident_ Roundfish,unident_ Sculpin,unident_ Skate,unident_ Sponge,unident_ Starfish,unident_ thornyhead (Idiot),Unidentified Flatfish,Unidentified Idiotfish,Unidentified Rockfish,Unidentified Sculpin,Unidentified Sea Cucumber,Unidentified Shark,Unidentified Skate,Unidentified Sponge,Unidentified Starfish,Unidentified Urchin,Vermilion Rockfish,Widow Rockfish,Wolf-Eel,Yelloweye Rockfish,Yellowtail Rockfish
2002,IPHC,Summer,1001,4.968883,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1002,5.019074,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1003,5.019074,110,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.09537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1004,5.019074,61,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1005,5.019074,73,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1006,5.019074,40,54,0,0,15.05722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019074,0,0,0,0,0,0,10.03815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019074,0
2002,IPHC,Summer,1007,5.019074,200,222,0,0,0,0,0,0,5.019074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.32426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1008,5.019074,69,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1009,5.019074,184,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.51009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,IPHC,Summer,1010,4.968883,76,87,0,0,0,0,0,0,0,0,0,0,10.03815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,65.24796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03815,0
