"year","fleet","catch_shares","n_obs","n_hauls","n_trips","n_vessels","observed_discard_mt","observed_retained_mt","discard_rate"
2011,"fixed-OR",TRUE,12925,1469,373,92,0,0.0249648577791918,0
2011,"trawl-OR",TRUE,211285,9198,1514,102,0.0104780912637213,0.0479905651818924,0.179
2011,"trawl-WA",TRUE,36372,1889,292,28,0,0.0344733738546675,0
2012,"trawl-CA",TRUE,62023,2889,488,39,0,0.00544316429284224,0
2012,"trawl-OR",TRUE,203801,8903,1352,114,0,0.0408237321963168,0
2012,"trawl-WA",TRUE,41008,1831,268,23,0,0.022679851220176,0
2013,"fixed-WA",TRUE,2430,174,15,7,0,0.006612453311048,0
2013,"trawl-CA",TRUE,69241,3173,537,39,0,0.0172366869273338,0
2013,"trawl-OR",TRUE,229350,9160,1594,104,0.00176902839517373,0.0595572893041822,0.029
2013,"trawl-WA",TRUE,38697,1675,257,24,0.000317517917082464,0.0344733738546675,0.009
2014,"fixed-CA",TRUE,8938,1307,400,103,0,0.0208654631225619,0
2014,"fixed-WA",TRUE,7056,687,52,16,0,0.00994846917170803,0
2014,"trawl-CA",TRUE,71166,3320,516,42,0,0.108863285856845,0
2014,"trawl-OR",TRUE,194951,7986,1511,97,0,0.0390093440987027,0
2014,"trawl-WA",TRUE,24513,1189,262,29,0.00090719404880704,0.0136079107321056,0.062
2015,"fixed-OR",TRUE,1252,302,32,3,0,0.00589676131724576,0
2015,"trawl-CA",TRUE,70374,3012,472,40,0,0.00408237321963168,0
2015,"trawl-OR",TRUE,189661,7459,847,87,0.000952553751247392,0.0517100607820013,0.018
2016,"fixed-OR",TRUE,14089,1679,383,85,0,0.00678151040397069,0
2016,"trawl-CA",TRUE,58741,2787,446,44,0,0.00362877619522816,0
2016,"trawl-OR",TRUE,196376,7935,851,95,0.0010432731561281,0.0816474643926336,0.013
2017,"fixed-OR",TRUE,10305,1170,324,91,0,0.00362877619522816,0
2017,"fixed-WA",TRUE,9450,676,68,28,0,0.030766973422363,0
2017,"trawl-CA",TRUE,66372,3043,561,59,2.37356940086613e-06,0.0127007166832986,0
2017,"trawl-OR",TRUE,227370,8812,1798,110,0.0119297215437371,22.9402159121836,0.001
2018,"fixed-OR",TRUE,2341,400,36,4,0.00181438809761408,0.00090719404880704,0.667
2018,"trawl-CA",TRUE,19922,964,165,8,4.69864113435839e-06,0.00090719404880704,0.005
2018,"trawl-OR",TRUE,206867,8604,1688,116,0.0211428434362199,0.209353318289333,0.092
2018,"trawl-WA",TRUE,16318,1028,89,23,0,0.0117935226344915,0
2019,"trawl-CA",TRUE,67875,3079,578,52,0.00381781763991213,0.104990433777096,0.035
2019,"trawl-OR",TRUE,211899,8620,1772,121,0.0437562672204225,0.650894539397446,0.063
2019,"trawl-WA",TRUE,16199,723,349,13,1.80456954727569e-05,0.0616891953188787,0
2020,"fixed-OR",TRUE,2683,458,41,5,0,0.00181438809761408,0
2020,"trawl-CA",TRUE,49562,2180,398,38,0.006095212132472,0.153234872539236,0.038
2020,"trawl-OR",TRUE,154286,5714,1511,78,0.0910249280108319,0.439775381764622,0.171
2021,"trawl-CA",TRUE,51604,2183,449,40,0.0115035527767819,0.192325138347092,0.056
2021,"trawl-OR",TRUE,145099,5147,1316,81,0.0459435943022016,0.450151750502532,0.093
2021,"trawl-WA",TRUE,27457,1159,402,22,0.0278836266019185,0.0715551767486962,0.28
2022,"trawl-CA",TRUE,64857,2751,515,45,0.00492433042980625,0.166362514741903,0.029
2022,"trawl-OR",TRUE,182052,5969,1354,96,0.0208844722850208,1.37040366009807,0.015
2022,"trawl-WA",TRUE,16036,479,243,11,1.91603873291168e-06,0.0045359702440352,0
2023,"trawl-CA",TRUE,67684,2728,521,40,0.000120574339996703,0.110159467774596,0.001
2023,"trawl-OR",TRUE,164823,5673,1296,87,0.0617084899903104,0.45344336975567,0.12
2023,"trawl-WA",TRUE,10166,410,223,11,2.56463301734231e-07,0.0045359702440352,0
