"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"8","SR_LN(R0)",3.5,1011050,0.00913526,88.2973,0.0160648,0.00018194,5
"7","SR_LN(R0)",3.75,1010560,0.00315967,218.461,30.8028,0.140999,4
"6","SR_LN(R0)",4,1010550,0.0182965,282.248,37.422,0.132586,4
"5","SR_LN(R0)",4.25,7365.5,0.000144935,358.073,85.0007,0.237384,2
"4","SR_LN(R0)",4.5,7331.33,0.000528624,459.273,122.203,0.266079,2
"3","SR_LN(R0)",4.75,7305.42,0.000479636,589.339,166.962,0.283305,2
"2","SR_LN(R0)",5,7272.02,0.00162012,755.114,231.785,0.306954,2
"1","SR_LN(R0)",5.25,7255.01,0.00214274,966.619,321.423,0.332523,1
"9","SR_LN(R0)",5.5,7255.2,0.000176682,1237.35,446.84,0.361126,1
"10","SR_LN(R0)",5.75,7271.4,0.000173853,1584.71,631.344,0.398396,1
"11","SR_LN(R0)",6,7300.47,5.49643e-05,2032.93,933.533,0.459206,1
"12","SR_LN(R0)",6.25,7334.51,5.43109e-05,2617.76,1481.9,0.566095,1
"13","SR_LN(R0)",6.5,7362.15,3.53841e-05,3382.65,2389.17,0.7063,1
"14","SR_LN(R0)",6.75,7379.62,0.000519342,4360.81,3585.32,0.822168,1
"15","SR_LN(R0)",7,7391.16,0.000423307,5611.49,5059.32,0.9016,1
"16","SR_LN(R0)",7.25,7399.14,0.00159731,7214.56,6914.09,0.958352,1
