"","R0 5.4","R0 5.25","R0 5.1","R0 4.95","R0 4.8","R0 4.65","R0 4.5","R0 5.55","R0 5.7","R0 5.85","R0 6"
"totlikelihood",7334.79,7321.23,7382.46,7280.38,7257.96,7255.08,7244.87,7247.53,7255.96,7269.67,7287.72
"surveylike",-1.66799,-1.04368,-1.84916,0.355766,1.09048,1.71542,2.29067,2.70647,2.93695,2.90101,2.46157
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1381.82,1384.54,1483.48,1387.68,1378.57,1386.77,1376.57,1376.45,1377.32,1379.73,1384.68
"agelike",5856.87,5856.63,5842.26,5851.19,5852.34,5850.35,5852.17,5852.16,5852.07,5851.79,5851.14
"recrlike",96.3476,79.8328,57.5986,40.2024,25.18,15.6413,13.378,15.8835,23.4359,35.1616,49.4171
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0
"R0",4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6
"SB0",459.484,533.502,623.315,719.047,833.97,967.229,1121.6,1300.74,1508.75,1750.63,2032.65
"SBfinal",120.982,144.89,191.794,215.757,261.504,318.924,386.003,470.277,576.277,714.078,901.613
"deplfinal",0.263301,0.271583,0.307699,0.300059,0.313565,0.32973,0.344155,0.361545,0.381957,0.407898,0.443566
"yieldspr",43.5436,50.5723,59.2037,68.3308,79.3008,90.8152,106.958,124.228,144.32,167.722,195.039
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",0.83275,0.830804,0.250705,0.787508,0.877029,0.744134,0.881133,0.872791,0.855156,0.828775,0.796255
"lmaxfem",61.9665,61.9565,61.9242,61.9241,61.9112,61.8399,61.8375,61.7952,61.7501,61.7042,61.6622
"kfem",0.0760276,0.0760681,0.0772328,0.0761718,0.0760208,0.0764222,0.0761454,0.0762522,0.0763971,0.0765827,0.0768057
"cv1fem",0.150839,0.151869,0.152243,0.151618,0.151174,0.150705,0.150323,0.149767,0.149086,0.14824,0.147191
"cv2fem",0.0616702,0.061052,0.0613441,0.0611588,0.0613238,0.0615962,0.0617575,0.062038,0.0623749,0.0627807,0.0632649
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
