"Var1","Freq"
"L_at_Amin_Fem_GP_1",6
"LnQ_base_6_OR_REC(6)",1
"Q_extraSD_10_TRI_ORWA(10)",9
"Q_extraSD_3_CA_REC(3)",9
"Q_extraSD_6_OR_REC(6)",10
"Q_extraSD_7_WA_REC(7)",8
"Q_extraSD_8_CACPFV(8)",8
"Q_extraSD_9_OR_RECOB(9)",7
"RecrDist_Area_2",10
"Size_DblN_ascend_se_11_NWFSC_ORWA(11)",1
"Size_DblN_ascend_se_4_ORWA_TWL(4)",2
"Size_DblN_ascend_se_9_OR_RECOB(9)",1
"Size_DblN_peak_1_CA_TWL(1)",10
"Size_DblN_peak_10_TRI_ORWA(10)",74
"Size_DblN_peak_11_NWFSC_ORWA(11)",9
"Size_DblN_peak_2_CA_NONTWL(2)",8
"Size_DblN_peak_3_CA_REC(3)",8
"Size_DblN_peak_4_ORWA_TWL(4)",12
"Size_DblN_peak_5_ORWA_NONTWL(5)",1
"Size_DblN_peak_6_OR_REC(6)",1
"Size_DblN_peak_7_WA_REC(7)",8
"Size_DblN_peak_9_OR_RECOB(9)",1
"SR_LN(R0)",9
