"run","likelihood","gradient","SB0","SBfinal","Nparsonbounds","Lowest.NLL"
"1",7874.77,9.52761e-05,1190,452.092,1,"Best Fit"
"2",10048.6,3703.02,3666.88,2823.52,3,"0"
"3",7903.67,0.000504335,1175.56,448.124,1,"0"
"4",1011620,0.000506893,48.2273,0.0565438,8,"0"
"5",7874.77,0.00188213,1190,452.092,1,"Best Fit"
"6",7874.77,0.000352241,1190,452.092,1,"Best Fit"
"7",7874.77,0.000102985,1190,452.092,1,"Best Fit"
"8",7874.77,0.00039327,1190,452.092,1,"Best Fit"
"9",7874.77,0.000307104,1190,452.092,1,"Best Fit"
"10",9631.26,4162.58,1257.06,528.957,4,"0"
"11",10095.2,7118.27,4488.17,3904.81,4,"0"
"12",7874.77,0.000183662,1190,452.092,1,"Best Fit"
"13",7874.77,0.00524339,1190,452.092,1,"Best Fit"
"14",7874.77,0.000503213,1190,452.092,1,"Best Fit"
"15",7874.77,0.000270951,1190,452.092,1,"Best Fit"
"16",7874.77,9.52761e-05,1190,452.092,1,"Best Fit"
"17",7874.77,6.89771e-05,1190,452.092,1,"Best Fit"
"18",7874.77,0.000683112,1190,452.092,1,"Best Fit"
"19",1011620,0.00681858,48.2273,0.0565438,8,"0"
"20",7874.77,0.000222268,1190,452.092,1,"Best Fit"
"21",7874.77,0.000228433,1190,452.092,1,"Best Fit"
"22",7874.77,7.14771e-05,1190,452.092,1,"Best Fit"
"23",7874.77,0.000569497,1190,452.092,1,"Best Fit"
"24",7874.77,3.03535e-05,1190,452.092,1,"Best Fit"
"25",7874.77,0.000172251,1190,452.092,1,"Best Fit"
"26",7874.77,0.000779317,1190,452.092,1,"Best Fit"
"27",7874.77,0.00128977,1190,452.092,1,"Best Fit"
"28",7874.77,0.00149998,1190,452.092,1,"Best Fit"
"29",7874.77,0.00037708,1190,452.092,1,"Best Fit"
"30",7874.77,9.52761e-05,1190,452.092,1,"Best Fit"
"31",7891.59,6.73215e-05,1186.88,458.063,1,"0"
"32",30490,5.567e+09,126278,123988,5,"0"
"33",7874.77,6.07384e-05,1190,452.092,1,"Best Fit"
"34",10330.6,115255,1541,886.812,2,"0"
"35",1011890,0.0791052,95.3952,0.019957,7,"0"
"36",7874.77,0.00339134,1190,452.092,1,"Best Fit"
"37",7874.77,0.000244536,1190,452.092,1,"Best Fit"
"38",10073.4,88090.2,18817.8,17663.9,3,"0"
"39",10354.2,4884.39,1215.17,486.292,3,"0"
"40",7874.77,0.00204934,1190,452.092,1,"Best Fit"
"41",8988.6,26787.8,1386.13,750.57,0,"0"
"42",7874.77,0.000213114,1190,452.092,1,"Best Fit"
"43",10926.8,5152.92,3830.14,3283.85,3,"0"
"44",7874.77,0.000781193,1190,452.092,1,"Best Fit"
"45",7874.77,0.000348794,1190,452.092,1,"Best Fit"
"46",7874.77,0.000545491,1190,452.092,1,"Best Fit"
"47",7874.77,0.000829725,1190,452.092,1,"Best Fit"
"48",7874.77,0.000379106,1190,452.092,1,"Best Fit"
"49",1030930,12600.7,14.9652,0.000269063,3,"0"
"50",10219.1,16481.3,9184.54,8756.65,2,"0"
"51",10266.3,7579,3005.88,2387.43,4,"0"
"52",7874.77,7.00488e-05,1190,452.092,1,"Best Fit"
"53",7874.77,0.000489147,1190,452.092,1,"Best Fit"
"54",1011620,0.00513161,48.2273,0.0565438,8,"0"
"55",7874.77,9.74408e-05,1190,452.092,1,"Best Fit"
"56",1011620,0.000456728,48.2273,0.0565438,8,"0"
"57",10360.6,33499.5,4407.48,3782.63,2,"0"
"58",7874.77,0.000781193,1190,452.092,1,"Best Fit"
"59",11109.8,85169.8,3257030,3211830,8,"0"
"60",1011760,462.51,128.447,2.93778e-06,7,"0"
"61",7874.77,0.000125066,1190,452.092,1,"Best Fit"
"62",7874.77,0.000104624,1190,452.092,1,"Best Fit"
"63",7874.77,0.00022257,1190,452.092,1,"Best Fit"
"64",7874.77,2.84772e-05,1190,452.092,1,"Best Fit"
"65",7874.77,0.00024514,1190,452.092,1,"Best Fit"
"66",7874.77,0.000213061,1190,452.092,1,"Best Fit"
"67",20192.1,884604,697.902,279.06,2,"0"
"68",10533.6,1643080,8131830,8024710,5,"0"
"69",7874.77,8.542e-05,1190,452.092,1,"Best Fit"
