"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","NatM_break_1_Fem_GP_1",0.03,7921.06,0.00276748,1110.93,206.504,0.185883,2
"6","NatM_break_1_Fem_GP_1",0.032,7909.9,0.000219647,1119.88,239.69,0.214032,2
"5","NatM_break_1_Fem_GP_1",0.034,7900.64,0.000145986,1128.56,274.73,0.243435,2
"4","NatM_break_1_Fem_GP_1",0.036,7893.02,0.00106365,1137.63,311.54,0.273849,2
"3","NatM_break_1_Fem_GP_1",0.038,7886.79,0.00097159,1147.86,350.308,0.305183,2
"2","NatM_break_1_Fem_GP_1",0.04,7881.76,0.000392079,1159.83,391.173,0.337267,1
"1","NatM_break_1_Fem_GP_1",0.042,7877.75,0.000634011,1174.01,434.314,0.369939,1
"8","NatM_break_1_Fem_GP_1",0.044,7874.64,0.000416963,1190.88,479.891,0.402971,1
"9","NatM_break_1_Fem_GP_1",0.046,7872.3,0.000207773,1210.99,528.238,0.436202,1
"10","NatM_break_1_Fem_GP_1",0.048,7870.67,0.000373034,1235.07,579.896,0.469523,1
"11","NatM_break_1_Fem_GP_1",0.05,7869.65,0.000338004,1264.04,635.634,0.502861,1
"12","NatM_break_1_Fem_GP_1",0.052,7869.18,0.000128658,1299.05,696.51,0.53617,1
"13","NatM_break_1_Fem_GP_1",0.054,7869.21,0.000277499,1341.6,763.923,0.569413,1
"14","NatM_break_1_Fem_GP_1",0.056,7869.69,8.81757e-05,1393.57,839.652,0.60252,1
"15","NatM_break_1_Fem_GP_1",0.058,7870.59,6.41323e-05,1457.42,926.055,0.635407,1
"16","NatM_break_1_Fem_GP_1",0.06,7871.87,1.85164e-05,1536.48,1026.33,0.667976,1
