"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",7972.32,7944.9,7924.07,7908.63,7897.48,7889.57,7883.99,7880.06,7877.31,7875.37,7874.01,7873.06,7872.39,7871.94,7871.64,7871.44
"surveylike",-30.4015,-38.0143,-42.4524,-45.9274,-48.5795,-50.5455,-51.9972,-53.0731,-53.8831,-54.5008,-54.9792,-55.3563,-55.659,-55.906,-56.1106,-56.2827
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1424.32,1418.79,1412.61,1406.6,1401.37,1397.1,1393.76,1391.18,1389.23,1387.76,1386.65,1385.79,1385.13,1384.62,1384.23,1383.93
"agelike",6514.91,6513.59,6513.77,6515.34,6517.59,6519.9,6521.97,6523.72,6525.13,6526.24,6527.11,6527.78,6528.31,6528.71,6529.02,6529.26
"recrlike",62.1263,49.4636,39.2471,31.8682,26.4828,22.5981,19.8216,17.8717,16.5158,15.5995,15.0045,14.641,14.4421,14.36,14.3602,14.418
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.47143,5.49107,5.50121,5.50424,5.50359,5.50101,5.49775,5.4945,5.49163,5.48927,5.48743,5.48606,5.48509,5.48447,5.48411,5.48397
"SB0",1171.08,1194.48,1206.64,1210.23,1209.26,1205.92,1201.75,1197.63,1194,1191.01,1188.67,1186.93,1185.69,1184.86,1184.38,1184.16
"SBfinal",74.2003,117.312,155.701,198.369,244.012,290.545,336.631,381.133,423.322,462.711,499.103,532.516,563.098,591.053,616.61,639.998
"deplfinal",0.0633605,0.0982116,0.129037,0.16391,0.201787,0.240933,0.280118,0.31824,0.354542,0.388504,0.419882,0.44865,0.474912,0.498835,0.52062,0.540468
"yieldspr",1.23709e-12,7.81684e-12,17.565,52.9642,74.232,88.274,98.1602,105.471,111.098,115.574,119.233,122.293,124.9,127.155,129.13,130.879
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.59551,1.5161,1.45777,1.43281,1.43677,1.45497,1.47759,1.5014,1.52267,1.54134,1.55768,1.57197,1.58422,1.5947,1.60366,1.61134
"lmaxfem",61.2481,61.2499,61.2581,61.2737,61.2924,61.3108,61.3269,61.3404,61.3511,61.3595,61.366,61.3711,61.3751,61.3781,61.3805,61.3824
"kfem",0.0766909,0.0767626,0.0767603,0.0766776,0.076543,0.0763947,0.0762563,0.0761341,0.0760342,0.0759534,0.0758881,0.0758352,0.0757927,0.0757585,0.0757311,0.075709
"cv1fem",0.145337,0.145302,0.145439,0.145868,0.146355,0.146792,0.147156,0.147444,0.147665,0.147831,0.147955,0.148046,0.148112,0.148158,0.14819,0.148212
"cv2fem",0.065373,0.065345,0.0652565,0.0651088,0.0649473,0.0647986,0.0646725,0.0645702,0.0644903,0.0644289,0.0643821,0.0643468,0.0643204,0.0643009,0.0642866,0.0642763
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
