"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,7972.32,0.00056767,1171.08,74.2003,0.0633605,2
"9","SR_BH_steep",0.3,7944.9,0.00380112,1194.48,117.312,0.0982116,2
"8","SR_BH_steep",0.35,7924.07,0.000402001,1206.64,155.701,0.129037,2
"7","SR_BH_steep",0.4,7908.63,0.000469407,1210.23,198.369,0.16391,2
"6","SR_BH_steep",0.45,7897.48,0.00038342,1209.26,244.012,0.201787,2
"5","SR_BH_steep",0.5,7889.57,0.000936237,1205.92,290.545,0.240933,2
"4","SR_BH_steep",0.55,7883.99,6.44945e-05,1201.75,336.631,0.280118,1
"3","SR_BH_steep",0.6,7880.06,0.000162459,1197.63,381.133,0.31824,1
"2","SR_BH_steep",0.65,7877.31,0.000383528,1194,423.322,0.354542,1
"1","SR_BH_steep",0.7,7875.37,0.000311731,1191.01,462.711,0.388504,1
"11","SR_BH_steep",0.75,7874.01,2.45777e-05,1188.67,499.103,0.419882,1
"12","SR_BH_steep",0.8,7873.06,0.0013967,1186.93,532.516,0.44865,1
"13","SR_BH_steep",0.85,7872.39,0.000150535,1185.69,563.098,0.474912,1
"14","SR_BH_steep",0.9,7871.94,0.000866242,1184.86,591.053,0.498835,1
"15","SR_BH_steep",0.95,7871.64,0.00137035,1184.38,616.61,0.52062,1
"16","SR_BH_steep",1,7871.44,0.000213597,1184.16,639.998,0.540468,1
