"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",7867.43,7543.97,7247.46,6847.7,6478.85,6331.9
"surveylike",-54.602,-51.793,-50.5984,-48.7234,-47.5776,-46.5732
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",1388.24,1351.82,1301.63,1253.69,1212.3,1181.04
"agelike",6517.82,6228.02,5978.9,5625.84,5297.64,5182.27
"recrlike",15.7096,15.6475,17.2164,16.5849,16.2157,14.902
"forerecrlike",0,0,0,0,0,0
"priorlike",0,0,0,0,0,0
"parmlike",0,0,0,0,0,0
"R0",5.48578,5.48587,5.48415,5.48468,5.49276,5.49291
"SB0",1187.12,1188.68,1186.3,1188.87,1194.01,1191.95
"SBfinal",473.382,472.773,458.881,467.9,481.134,483.242
"deplfinal",0.398764,0.397729,0.386817,0.393567,0.402958,0.40542
"yieldspr",116.408,116.307,115.793,115.465,115.715,115.658
"steep",0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.54201,1.93112,2.12435,2.72884,3.39172,3.74667
"lmaxfem",61.3656,61.4326,61.514,61.6272,61.6671,61.658
"kfem",0.0759335,0.0751097,0.0742638,0.0730572,0.0717805,0.0713375
"cv1fem",0.147906,0.155551,0.163941,0.170641,0.178848,0.181055
"cv2fem",0.0643978,0.0655516,0.0660373,0.0664969,0.0669032,0.0669347
"mmale",NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA
