"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"8","SR_LN(R0)",3.5,7088.48,0.024849,173.392,27.4818,0.158495,3
"7","SR_LN(R0)",3.75,1010600,0.0663137,109.148,0.0132425,0.000121326,6
"6","SR_LN(R0)",4,1010060,0.000452673,290.907,36.5922,0.125787,5
"5","SR_LN(R0)",4.25,6930.16,9.05818e-05,365.755,81.738,0.223478,3
"4","SR_LN(R0)",4.5,6890.7,3.0798e-05,469.156,113.469,0.241858,3
"3","SR_LN(R0)",4.75,6864.12,0.000508064,602.38,158.152,0.262545,3
"2","SR_LN(R0)",5,6831.39,0.000518551,771.576,220.749,0.286102,3
"1","SR_LN(R0)",5.25,6816.01,0.000147062,987.02,306.884,0.310919,2
"9","SR_LN(R0)",5.5,6818.15,0.000388367,1262.46,426.365,0.337726,2
"10","SR_LN(R0)",5.75,6836.96,1.63264e-05,1615.26,600.2,0.371582,2
"11","SR_LN(R0)",6,6869.8,7.21814e-05,2069.3,884.241,0.427315,2
"12","SR_LN(R0)",6.25,6909.01,0.000139172,2661.03,1424.86,0.535456,2
"13","SR_LN(R0)",6.5,6940.93,7.68174e-05,3437.47,2383.39,0.693356,2
"14","SR_LN(R0)",6.75,6960.53,9.86468e-05,4432.75,3653.47,0.824199,2
"15","SR_LN(R0)",7,6973.08,0.000198173,5702.72,5191.7,0.910391,2
"16","SR_LN(R0)",7.25,6981.69,0.000459394,7330.54,7120.76,0.971382,2
