"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"11","SR_BH_steep",0.2,1022740,7638.23,1089.83,2.26283e-06,2.07632e-09,1
"10","SR_BH_steep",0.25,7294.67,0.00304223,1113.61,23.7113,0.0212923,3
"9","SR_BH_steep",0.3,7274.25,0.00672651,1096.87,33.9498,0.0309515,3
"8","SR_BH_steep",0.35,7261.22,0.00341167,1081.9,57.0353,0.0527178,3
"7","SR_BH_steep",0.4,7251.7,0.00353243,1083.77,96.653,0.0891822,3
"6","SR_BH_steep",0.45,7244.3,0.00258323,1087.04,141.359,0.130041,3
"5","SR_BH_steep",0.5,7238.82,0.000787991,1087.72,186.497,0.171457,3
"4","SR_BH_steep",0.55,7234.89,0.00168814,1088.09,232.135,0.213341,3
"3","SR_BH_steep",0.6,7232.12,0.000128078,1088.42,277.111,0.254599,3
"2","SR_BH_steep",0.65,7230.2,0.000909441,1088.91,320.387,0.294227,2
"1","SR_BH_steep",0.7,7228.88,0.000109665,1089.57,361.275,0.331577,2
"12","SR_BH_steep",0.75,7228,8.53549e-05,1090.36,399.421,0.366319,2
"13","SR_BH_steep",0.8,7227.43,7.32147e-05,1091.29,434.724,0.398357,2
"14","SR_BH_steep",0.85,7227.09,0.000194048,1092.34,467.244,0.427748,2
"15","SR_BH_steep",0.9,7226.9,0.000665839,1093.48,497.131,0.45463,2
"16","SR_BH_steep",0.95,7226.83,0.000140102,1094.71,524.574,0.479188,2
"17","SR_BH_steep",1,7226.84,0.000511703,1096.01,549.779,0.50162,2
