"","R0 5.25","R0 5","R0 4.75","R0 4.5","R0 4.25","R0 4","R0 3.75","R0 3.5","R0 5.5","R0 5.75","R0 6","R0 6.25","R0 6.5","R0 6.75","R0 7","R0 7.25"
"totlikelihood",1011010,1010530,1010520,7348.08,7317.77,7280.53,7247.49,7230.51,7230.75,7247.07,7276.35,7310.69,7338.6,7356.24,7367.82,7375.84
"surveylike",-9.54917,-6.53464,-6.71513,-2.93153,-2.51195,-0.45267,0.780777,1.92379,2.80734,3.21123,2.60347,0.631255,-0.714754,-0.943685,-0.684735,-0.406163
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",2542.25,2378.19,2384.74,1382.92,1393.72,1381.2,1377.73,1375.37,1374.32,1375.91,1383.64,1403.68,1430.56,1449.91,1460.05,1466.58
"agelike",6441.98,6091.59,6094.05,5841.28,5832.69,5837.39,5836.92,5836.73,5836.82,5836.75,5835.76,5833.23,5831.18,5830.19,5829.84,5829.7
"recrlike",23.8125,63.8631,38.0523,125.107,92.4677,61.2007,31.149,15.8515,16.4386,31.04,54.322,73.0965,77.3452,76.6919,78.1002,79.3565
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25
"SB0",88.9185,219.787,284.274,358.277,460,589.753,755.76,967.377,1238.29,1585.99,2034.79,2620.53,3385.76,4365.93,5617.35,7221.59
"SBfinal",0.0145511,31.3029,37.2181,84.3773,124.841,166.582,231.105,320.447,445.358,628.963,929.544,1477.94,2384.89,3592,5069.98,6929.38
"deplfinal",0.000163646,0.142424,0.130923,0.235508,0.271393,0.28246,0.305792,0.331253,0.359656,0.396575,0.456825,0.563984,0.704388,0.822735,0.902558,0.959537
"yieldspr",10.5,18.3296,23.6581,33.8671,43.5444,55.8321,71.6761,91.959,117.992,151.51,194.913,251.589,324.207,415.066,529.889,676.208
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",14.4934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lmaxfem",52.4633,64.3426,64.5501,62.0148,61.9918,61.9955,61.963,61.9017,61.834,61.765,61.7083,61.7018,61.7674,61.8156,61.8405,61.8552
"kfem",0.0234688,0.0626901,0.0621866,0.0756749,0.0758244,0.0756963,0.0757227,0.0758237,0.0759662,0.0761627,0.0764258,0.076697,0.0767968,0.0768561,0.0768718,0.0768836
"cv1fem",0.0523494,0.0795215,0.079947,0.151022,0.150174,0.151477,0.15112,0.150477,0.149611,0.148392,0.146654,0.144541,0.1433,0.143062,0.142998,0.142983
"cv2fem",0.475946,0.0832864,0.0831143,0.0618002,0.0618016,0.0611464,0.0613041,0.0616332,0.0620618,0.0626333,0.0633991,0.064286,0.0648677,0.0650189,0.0650803,0.0651057
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
