"","0.042","0.04","0.038","0.036","0.034","0.032","0.03","0.044","0.046","0.048","0.05","0.052","0.054","0.056","0.058","0.06"
"totlikelihood",7942.12,7933.62,7926.63,7920.97,7916.43,7912.83,7910.01,7907.85,7906.26,7905.15,7904.46,7904.15,7904.17,7904.5,7905.1,7905.97
"surveylike",2.05899,2.08974,2.02449,1.91796,1.77102,1.58122,1.34001,1.04881,0.710951,0.331322,-0.0842686,-0.529337,-0.998324,-1.48497,-1.9805,-2.47184
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1394.05,1392.25,1390.59,1389.09,1387.73,1386.51,1385.42,1384.46,1383.61,1382.86,1382.22,1381.66,1381.17,1380.73,1380.33,1379.95
"agelike",6509.59,6508.35,6507.57,6507.17,6507.08,6507.22,6507.53,6507.98,6508.53,6509.15,6509.83,6510.57,6511.37,6512.23,6513.17,6514.2
"recrlike",35.113,29.8073,25.4838,21.9819,19.1826,16.9839,15.2949,14.0508,13.1903,12.6588,12.4101,12.4075,12.6181,13.0122,13.5611,14.237
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",4.66621,4.78555,4.89934,5.00986,5.11833,5.22573,5.33287,5.44036,5.54875,5.65863,5.77073,5.88592,6.00517,6.12957,6.26036,6.39898
"SB0",1052.22,1060.85,1068.22,1076.2,1085.71,1097.54,1112.34,1130.68,1153.11,1180.37,1213.47,1253.77,1303,1363.44,1438.08,1531
"SBfinal",163.911,196.208,229.275,264.139,301.194,340.805,383.365,429.164,478.582,532.206,590.93,655.957,728.908,811.934,907.888,1020.65
"deplfinal",0.155776,0.184953,0.214633,0.245438,0.277416,0.310518,0.344647,0.379563,0.415035,0.450881,0.486975,0.523189,0.559409,0.595505,0.631319,0.666657
"yieldspr",72.2746,77.2645,82.2463,87.3624,92.7053,98.3683,104.448,111.043,118.262,126.24,135.161,145.264,156.865,170.376,186.346,205.525
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06
"lminfem",1.43712,1.43823,1.44181,1.44722,1.45417,1.46179,1.46861,1.475,1.48084,1.48555,1.48892,1.49169,1.49423,1.49674,1.49928,1.50205
"lmaxfem",61.3675,61.3719,61.3764,61.3799,61.3823,61.3835,61.3833,61.3822,61.3804,61.3778,61.3747,61.3711,61.3673,61.3632,61.359,61.3549
"kfem",0.0763115,0.0762647,0.0762119,0.0761589,0.0761072,0.0760588,0.0760172,0.0759803,0.0759476,0.0759199,0.0758973,0.0758778,0.0758601,0.0758436,0.0758273,0.0758102
"cv1fem",0.147029,0.147213,0.147417,0.147618,0.14781,0.147987,0.148149,0.148299,0.148438,0.148568,0.148691,0.148808,0.148921,0.149033,0.149146,0.149264
"cv2fem",0.0647219,0.0646458,0.0645649,0.064487,0.0644136,0.0643453,0.0642822,0.0642231,0.0641668,0.0641131,0.0640616,0.0640114,0.0639616,0.0639114,0.0638601,0.0638066
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
