"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",7965.42,7947.13,7934.98,7925.85,7919.32,7914.9,7911.98,7910.09,7908.88,7908.13,7907.7,7907.47,7907.39,7907.41,7907.5,7907.63
"surveylike",-1.88214,-4.61024,-4.724,-3.80705,-2.77577,-1.76213,-0.869356,-0.129064,0.461309,0.923354,1.28559,1.57029,1.79498,1.97315,2.11524,2.22923
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1415.37,1407.74,1403.34,1399.45,1395.56,1392.24,1389.6,1387.56,1386.01,1384.85,1383.97,1383.32,1382.82,1382.46,1382.18,1381.99
"agelike",6497.48,6499.64,6500.29,6500.91,6502.23,6503.7,6505.05,6506.18,6507.07,6507.75,6508.27,6508.65,6508.93,6509.13,6509.27,6509.37
"recrlike",52.4854,42.5917,34.6465,28.1861,23.4144,19.9996,17.6125,15.9967,14.9356,14.268,13.8818,13.6909,13.634,13.6684,13.7641,13.9
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.43747,5.4249,5.42359,5.42824,5.42931,5.42937,5.4299,5.43102,5.4326,5.43445,5.43644,5.43848,5.44053,5.44256,5.44455,5.44648
"SB0",1132.87,1118.75,1117.48,1122.82,1124.01,1123.94,1124.35,1125.42,1127.02,1128.95,1131.08,1133.29,1135.54,1137.78,1140,1142.16
"SBfinal",25.6333,42.7263,79.7224,127.867,176.768,226.352,275.978,324.174,369.861,412.395,451.507,487.241,519.798,549.437,576.441,601.079
"deplfinal",0.0226269,0.0381913,0.071341,0.11388,0.157266,0.201391,0.245455,0.288048,0.328177,0.36529,0.399183,0.429935,0.457754,0.482902,0.505651,0.526263
"yieldspr",1.27176e-12,8.30078e-12,16.1937,48.9494,68.7591,82.0077,91.5561,98.8158,104.557,109.231,113.124,116.424,119.264,121.74,123.92,125.858
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.57048,1.46414,1.39845,1.37303,1.37307,1.38726,1.40755,1.42979,1.45061,1.46873,1.48463,1.49836,1.51002,1.51988,1.52817,1.53516
"lmaxfem",61.2781,61.2772,61.2833,61.2983,61.3175,61.3357,61.351,61.3633,61.3729,61.3801,61.3857,61.3899,61.3932,61.3956,61.3974,61.3988
"kfem",0.0766098,0.0767169,0.0767494,0.0766814,0.0765557,0.0764158,0.0762853,0.0761714,0.0760783,0.0760047,0.0759458,0.075899,0.0758621,0.0758331,0.0758105,0.0757927
"cv1fem",0.145494,0.145923,0.146266,0.146638,0.147058,0.147435,0.147738,0.147968,0.148137,0.148258,0.148342,0.1484,0.148438,0.14846,0.148472,0.148475
"cv2fem",0.0649856,0.0647844,0.0647176,0.0646556,0.0645565,0.0644597,0.0643794,0.0643165,0.0642695,0.0642356,0.0642114,0.0641947,0.0641837,0.0641771,0.0641737,0.0641728
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
