"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,7306.81,0.00228088,1157.7,22.6125,0.0195323,2
"9","SR_BH_steep",0.3,7286.79,0.0054431,1138.57,32.9226,0.0289158,2
"8","SR_BH_steep",0.35,7274.5,0.0028537,1121.67,55.9512,0.0498822,2
"7","SR_BH_steep",0.4,7265.71,0.00145846,1123.26,96.7722,0.0861528,2
"6","SR_BH_steep",0.45,7258.87,0.0012803,1127.22,143.862,0.127626,2
"5","SR_BH_steep",0.5,7253.84,0.000194743,1127.92,191.182,0.169499,2
"4","SR_BH_steep",0.55,7250.31,0.00201545,1128.39,239.166,0.211954,2
"3","SR_BH_steep",0.6,7247.87,0.00105693,1128.95,286.594,0.253859,2
"2","SR_BH_steep",0.65,7246.23,0.000312295,1129.78,332.326,0.294152,1
"1","SR_BH_steep",0.7,7245.15,9.4152e-05,1130.81,375.538,0.332096,1
"11","SR_BH_steep",0.75,7244.47,0.00297269,1131.99,415.823,0.367339,1
"12","SR_BH_steep",0.8,7244.06,0.000958534,1133.26,453.058,0.399782,1
"13","SR_BH_steep",0.85,7243.86,0.000199534,1134.61,487.306,0.429492,1
"14","SR_BH_steep",0.9,7243.79,0.00035263,1136.02,518.733,0.456623,1
"15","SR_BH_steep",0.95,7243.82,0.00209,1137.48,547.549,0.481372,1
"16","SR_BH_steep",1,7243.92,0.00027329,1138.96,573.981,0.503953,1
