"Label","Base","- NWFSC bottom trawl age comps","- IPHC age comps","- No age comps","McAllister & Ianelli weighting"
"TOTAL_like",7874.77,6475.81,6975.15,1245.83,7506.59
"Survey_like",-54.7065,-55.3904,-50.4112,-53.6386,-57.6698
"Length_comp_like",1387.28,1372.56,1372.25,1309.35,1478.39
"Age_comp_like",6526.61,5148.36,5639.31,0,6070.27
"Recruitment_like",15.3286,10.0461,13.5087,-10.0157,15.4795
"Forecast_Recruitment_like",0,0,0,0,0
"Parm_priors_like",0,0,0,0,0
"Recr_Virgin_thousands",241.887,243.671,222.982,274.842,270.471
"SR_LN(R0)",5.48847,5.49582,5.40709,5.6162,5.60016
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.4719,62.4304,60.8232,61.1854
"VonBert_K_Fem_GP_1",0.0759256,0.0724971,0.0757051,0.0558668,0.0673907
"SmryBio_unfished",10331,10441.2,9945.37,11046.8,10986.3
"SSB_Virgin",1190,1199.98,1166.44,1228.11,1241.2
"SSB_2025",477.63,471.858,393.043,469.146,549.181
"Bratio_2025",0.40137,0.393221,0.336959,0.382008,0.442459
"SPRratio_2024",0.356508,0.364762,0.426759,0.371822,0.316176
