"Label","Base","- CA REC index","- OR REC index","- WA REC index","- CA CPFV index","- ORFS index","- AFSC triennial index","- NWFSC bottom trawl index","- IPHC index","No indices"
"TOTAL_like",7874.77,7879.44,7903.89,7879.92,7711.76,7770.96,7849.03,6414.38,6917.51,5210.16
"Survey_like",-54.7065,-49.813,-25.4372,-48.9455,-49.1326,-50.6635,-53.8096,-49.9462,-53.7744,NA
"Length_comp_like",1387.28,1387.39,1387.76,1385.05,1221.51,1287.8,1362.78,1305.7,1319.57,949.527
"Age_comp_like",6526.61,6526.59,6526.7,6528.9,6521.56,6518.29,6524.31,5147.6,5637.06,4249.77
"Recruitment_like",15.3286,14.9943,14.6067,14.5875,17.571,15.3184,15.5112,10.803,14.1562,10.1809
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.887,237.747,238.639,231.896,246.229,242.162,243.372,244.802,222.331,209.223
"SR_LN(R0)",5.48847,5.47121,5.47495,5.44629,5.50626,5.48961,5.49459,5.50045,5.40417,5.3434
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.3678,61.366,61.3645,61.3894,61.3544,61.3026,61.4587,62.4246,62.7038
"VonBert_K_Fem_GP_1",0.0759256,0.0759307,0.0759395,0.0758626,0.0756722,0.0764161,0.0762424,0.0725669,0.0757794,0.0735003
"SmryBio_unfished",10331,10156.3,10193.8,9900.25,10520.5,10358.4,10381.9,10488.9,9915.76,9454.08
"SSB_Virgin",1190,1169.99,1174.29,1140.22,1211.93,1193.95,1195.11,1205.33,1162.9,1111.28
"SSB_2025",477.63,459.638,464.736,434.657,499.77,488.3,485.989,484.887,391.733,339.272
"Bratio_2025",0.40137,0.392856,0.39576,0.381204,0.412376,0.408977,0.406647,0.402286,0.336859,0.305297
"SPRratio_2024",0.356508,0.367684,0.364762,0.384735,0.343239,0.349898,0.351132,0.356981,0.427534,0.483921
