"Label","Base","- CA CPFV length comps","- ORFS length comps","- AFSC triennial length comps","- NWFSC bottom trawl length comps","- IPHC length comps","- No length comps"
"TOTAL_like",7874.77,7705.45,7766.5,7847.93,7808.41,7819.75,6394.16
"Survey_like",-54.7065,-54.7566,-55.2236,-54.655,-55.0457,-54.7869,-71.3851
"Length_comp_like",1387.28,1221.47,1287.89,1362.07,1321.42,1335.09,0
"Age_comp_like",6526.61,6521.45,6518.58,6524.97,6526.21,6523.2,6448.59
"Recruitment_like",15.3286,16.9819,15.0258,15.3088,15.5881,15.9888,15.5167
"Forecast_Recruitment_like",0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.887,240.462,242.106,241.355,242.363,241.152,383.142
"SR_LN(R0)",5.48847,5.48256,5.48938,5.48627,5.49044,5.48543,5.94841
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.4002,61.3531,61.3054,61.3504,61.3456,61.3852
"VonBert_K_Fem_GP_1",0.0759256,0.0756464,0.0764186,0.0762101,0.0760218,0.0760853,0.0799768
"SmryBio_unfished",10331,10276.7,10356.5,10295.1,10352.9,10298.4,16696.6
"SSB_Virgin",1190,1184.01,1193.73,1185.09,1192.46,1186.1,1935.01
"SSB_2025",477.63,473.383,490.053,476.66,488.707,477.218,1450.16
"Bratio_2025",0.40137,0.399813,0.410523,0.402213,0.40983,0.402342,0.749434
"SPRratio_2024",0.356508,0.358651,0.349365,0.356726,0.350548,0.356346,0.163242
